('https://image1.ljcdn.com/440100-inspection/d69973c2-6a7e-47f9-9a0b-a5ddab1a5473.jpg.296x216.jpg', '中海金沙馨园 精装三房 交通便利', '中海金沙馨园二期  | 3室2厅 | 99平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  金沙洲', '325万', '单价32829元/平米')
('https://image1.ljcdn.com/440100-inspection/1a3f4235-88f2-4253-9a52-59d6fbbffe6a.jpg.296x216.jpg', '汇侨新城 电梯两房 采光好舒适', '汇侨新城北区  | 2室1厅 | 80平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2000年建塔楼  -  新市', '240万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/b98cd2e6-3cc2-4bd3-a145-6187ca4992c7.jpg.296x216.jpg', '汇侨新城 大两房两厅', '汇侨新城北区  | 2室2厅 | 77.49平米 | 东 | 简装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  新市', '235万', '单价30327元/平米')
('https://image1.ljcdn.com/440100-inspection/d43e6750-be29-4f3a-a692-867262ac897e.jpg.296x216.jpg', '南航新村 电梯三房 采光好', '南航新村  | 3室1厅 | 86平米 | 西 | 简装 | 有电梯', '低楼层(共17层)1997年建塔楼  -  新市', '205万', '单价23838元/平米')
('https://image1.ljcdn.com/440100-inspection/c41ae39e-5866-405b-a6ae-68838b4bf46c.jpg.296x216.jpg', '富力桃园 温馨2房 方正实用', '富力桃园  | 2室1厅 | 74.09平米 | 西北 | 精装 | 有电梯', '中楼层(共16层)2004年建塔楼  -  罗冲围', '255万', '单价34418元/平米')
('https://image1.ljcdn.com/440100-inspection/1540490f-f9ca-4c5e-9195-c52eab44fb62.jpg.296x216.jpg', '榕溪花园 实用两房 证够五年', '榕溪花园  | 2室1厅 | 49平米 | 西南 | 简装 | 无电梯', '中楼层(共8层)1999年建塔楼  -  石井', '98万', '单价20000元/平米')
('https://image1.ljcdn.com/440100-inspection/f73892a1-b91d-43da-9dd2-0b3a944fcb53.jpg.296x216.jpg', '机场路 康盈阁 新装修 户型方正 采光好', '康盈阁  | 3室2厅 | 75.93平米 | 西 | 精装 | 无电梯', '中楼层(共6层)1995年建塔楼  -  机场路', '225万', '单价29633元/平米')
('https://image1.ljcdn.com/440100-inspection/1a650ba8-5bb6-4bfc-9d92-9f9185109924.jpg.296x216.jpg', '机场路 万方园 方正一房', '万方园  | 1室1厅 | 47平米 | 北 | 精装 | 有电梯', '中楼层(共18层)1999年建塔楼  -  机场路', '160万', '单价34043元/平米')
('https://image1.ljcdn.com/440100-inspection/ed22781d-8858-4c40-9b0b-a61195a8b564.jpg.296x216.jpg', '恒骏花园香柏广场 2室1厅 370万', '恒骏花园香柏广场  | 2室1厅 | 78平米 | 北 | 其他 | 有电梯', '中楼层(共30层)2010年建塔楼  -  同和', '370万', '单价47436元/平米')
('https://image1.ljcdn.com/440100-inspection/f778a70e-4944-4ee6-9637-319fcfe1cbe6.jpg.296x216.jpg', '南航新村 电梯三房 户型方正', '南航新村  | 3室2厅 | 86平米 | 东北 | 简装 | 有电梯', '低楼层(共17层)1997年建塔楼  -  新市', '200万', '单价23256元/平米')
('https://image1.ljcdn.com/440100-inspection/6a18cb1a-e855-41e8-92df-f01833ede672.jpg.296x216.jpg', '景泰实用2房 高层 采光通风好', '景泰花园  | 2室1厅 | 60平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1997年建塔楼  -  大金钟', '167万', '单价27834元/平米')
('https://image1.ljcdn.com/440100-inspection/cf6f02a9-847d-46c3-afe8-20fbb091e7b8.jpg.296x216.jpg', '汇侨新城北区 电梯中高层2房', '汇侨新城北区  | 2室1厅 | 59.42平米 | 西 | 简装 | 有电梯', '中楼层(共17层)2000年建塔楼  -  新市', '187万', '单价31471元/平米')
('https://image1.ljcdn.com/440100-inspection/6737fb23-658d-4a04-aded-028b0fcbc47d.jpg.296x216.jpg', '富力桃园 南向两房 采光好 格局方正', '富力桃园  | 2室1厅 | 76平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2004年建塔楼  -  罗冲围', '275万', '单价36185元/平米')
('https://image1.ljcdn.com/440100-inspection/c636f4d7-f9c4-4e82-ba0a-7b4ce6f12d69.jpg.296x216.jpg', '万方园 1室0厅 99万', '万方园  | 1室0厅 | 27.77平米 | 南 | 简装 | 有电梯', '高楼层(共18层)1999年建塔楼  -  机场路', '99万', '单价35650元/平米')
('https://image1.ljcdn.com/440100-inspection/b554292b-6207-40da-a6b9-74163b1b14c2.jpg.296x216.jpg', '颐和山庄 4室2厅 699万', '颐和山庄  | 4室2厅 | 167.16平米 | 南 | 其他 | 无电梯', '低楼层(共4层)板楼  -  南湖', '699万', '单价41817元/平米')
('https://image1.ljcdn.com/440100-inspection/d00a017b-616a-40b3-9a67-1882a8b16f71.jpg.296x216.jpg', '云苑新村 东南向精装一房 采光通风 配套完善', '广园云苑新村  | 1室1厅 | 39.52平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  广园路', '120万', '单价30365元/平米')
('https://image1.ljcdn.com/440100-inspection/e7e9053f-56c5-429d-9724-e487ccc9623f.jpg.296x216.jpg', '岭南雅院 电梯精致2房 生活便利', '富林居  | 1室1厅 | 37.89平米 | 南 西 | 其他 | 无电梯', '低楼层(共9层)1999年建塔楼  -  同德围', '120万', '单价31671元/平米')
('https://image1.ljcdn.com/440100-inspection/test-ab761935-de89-4718-84d8-ceb206fae5cb.png.296x216.jpg', '岭南新世界 映翠园 中高层三房', '岭南新世界  | 4室2厅 | 98平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  白云大道北', '470万', '单价47960元/平米')
('https://image1.ljcdn.com/440100-inspection/6cda95bf-21e6-4be8-a177-ae544c5c22c1.jpg.296x216.jpg', '三元里大道 白沙新村 精致三房 东南向', '白沙新村  | 3室1厅 | 65.18平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  机场路', '146万', '单价22400元/平米')
('https://image1.ljcdn.com/440100-inspection/67936cc4-2c3f-4e3d-9356-655187ffe52d.JPG.296x216.jpg', '岭南新世界 3室2厅 600万', '岭南新世界  | 3室2厅 | 118.53平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2008年建塔楼  -  白云大道北', '600万', '单价50621元/平米')
('https://image1.ljcdn.com/440100-inspection/2e83990c-0146-404b-9701-d84ddecb0668.JPG.296x216.jpg', '广信白兰花园 2室2厅 315万', '广信白兰花园  | 2室2厅 | 74.54平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1998年建塔楼  -  广园路', '315万', '单价42260元/平米')
('https://image1.ljcdn.com/440100-inspection/c766a35f-9069-45d1-aa01-8f01c742d0d9.jpg.296x216.jpg', '汇侨新城南区 3室1厅 250万', '汇侨新城南区  | 3室1厅 | 84.9平米 | 西北 | 其他 | 无电梯', '中楼层(共9层)2000年建塔楼  -  新市', '250万', '单价29447元/平米')
('https://image1.ljcdn.com/440100-inspection/e3f534ed-1096-4128-a79c-fc69fb79a828.jpg.296x216.jpg', '金碧雅苑 南向两房 高层 采光好 保养好', '金碧雅苑  | 2室1厅 | 66.52平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2003年建塔楼  -  白云大道北', '290万', '单价43596元/平米')
('https://image1.ljcdn.com/440100-inspection/e8026347-da35-4807-b8ca-d50656c3c07f.jpg.296x216.jpg', '白云山制药厂后山宿舍 中层一房 东南向 安静看花园', '白云山制药厂后山宿舍  | 1室1厅 | 44.33平米 | 南 北 | 其他', '低楼层(共8层)2000年建塔楼  -  南湖', '130万', '单价29326元/平米')
('https://image1.ljcdn.com/440100-inspection/ae3104e6-479d-4025-9eef-28f7f60bee5a.JPG.296x216.jpg', '乐嘉路宏景街 3室1厅 188万', '乐嘉路宏景街  | 3室1厅 | 56.49平米 | 东南 | 其他 | 无电梯', '中楼层(共9层)1997年建塔楼  -  机场路', '188万', '单价33281元/平米')
('https://image1.ljcdn.com/440100-inspection/0cc428f9-935c-46f8-a6db-99ddaf43081f.JPG.296x216.jpg', '富力阳光美居 2室2厅 235万', '富力阳光美居  | 2室2厅 | 61.82平米 | 南 东北 | 其他 | 有电梯', '低楼层(共11层)2001年建塔楼  -  黄石路', '235万', '单价38014元/平米')
('https://image1.ljcdn.com/440100-inspection/6cad0525-d40f-4b83-9e15-b45536995d66.jpg.296x216.jpg', '岭南新世界 3室2厅 560万', '岭南新世界  | 3室2厅 | 112.8平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2003年建塔楼  -  白云大道北', '560万', '单价49646元/平米')
('https://image1.ljcdn.com/440100-inspection/c3f60285-0c58-45d5-a75c-b67e85013091.jpg.296x216.jpg', '宏航苑 正规两房 厅出阳台 光线；靓丽', '宏航苑  | 2室1厅 | 70.36平米 | 东 | 其他 | 无电梯', '高楼层(共9层)1998年建塔楼  -  新市', '155万', '单价22030元/平米')
('https://image1.ljcdn.com/440100-inspection/c2f57bbb-f89d-4a8c-865c-6d5d06082de6.jpg.296x216.jpg', '汇侨新城楼梯中层南向三方出售', '汇侨新城北区  | 3室1厅 | 87平米 | 南 | 其他 | 无电梯', '中楼层(共9层)2000年建塔楼  -  新市', '245万', '单价28161元/平米')
('https://image1.ljcdn.com/440100-inspection/1a384a0d-5a43-4a0f-b13d-b4057c03ea20.jpg.296x216.jpg', '富力桃园 C区大三房 保养通风佳', '富力桃园  | 3室2厅 | 127平米 | 东北 | 其他 | 有电梯', '高楼层(共30层)2004年建塔楼  -  罗冲围', '435万', '单价34252元/平米')
('https://image1.ljcdn.com/440100-inspection/e432e989-71c8-4829-8d5f-762d60c2b4cb.jpg.296x216.jpg', '金碧新城两房 格局方正', '金碧新城  | 2室1厅 | 73平米 | 东北 | 其他 | 有电梯', '低楼层(共18层)2005年建塔楼  -  石井', '260万', '单价35617元/平米')
('https://image1.ljcdn.com/440100-inspection/744cf7a2-35ac-449c-a822-a5329e599a83.jpg.296x216.jpg', '香柏广场 四房两厅 舒适实用安静 东南向', '恒骏花园香柏广场  | 4室2厅 | 134.79平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)2010年建塔楼  -  同和', '850万', '单价63062元/平米')
('https://image1.ljcdn.com/440100-inspection/01e32b6a-169d-427e-8dc7-8f39f9225c58.jpg.296x216.jpg', '汇侨新城 温馨两房 南向单位', '汇侨新城北区  | 2室1厅 | 70平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2000年建塔楼  -  新市', '210万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/beeb52fd-a8d9-4721-af7e-f1787610d72d.jpg.296x216.jpg', '广州 富力城 安静舒适 精致大三房', '富力城  | 3室2厅 | 117.15平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2007年建塔楼  -  白云大道北', '328万', '单价27999元/平米')
('https://image1.ljcdn.com/440100-inspection/1dde0c66-f1c3-433b-afca-cefdfa34c6d7.jpg.296x216.jpg', '大户人家 格局方正 四代同堂 精装光猛', '富力桃园  | 4室2厅 | 160.1平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2004年建塔楼  -  罗冲围', '560万', '单价34979元/平米')
('https://image1.ljcdn.com/440100-inspection/58bbdf00-ab95-4676-ae25-c5de28cfc76e.jpg.296x216.jpg', '金兰花园 格局方正 配套成熟', '广信金兰花园金兰街  | 2室1厅 | 51.75平米 | 东北 | 精装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  白云大道南', '237万', '单价45798元/平米')
('https://image1.ljcdn.com/440100-inspection/3e81eaed-2c74-4867-9678-629b3835621a.jpg.296x216.jpg', '星汇金沙 大三房两厅两卫 南北对流', '星汇金沙雅筑  | 3室2厅 | 132.14平米 | 南 北 | 其他 | 有电梯', '低楼层(共32层)2013年建塔楼  -  金沙洲', '435万', '单价32920元/平米')
('https://image1.ljcdn.com/440100-inspection/1aaaf907-aad4-4092-adcc-156f18999192.jpg.296x216.jpg', '保利西海岸 对流通风 温馨三房', '保利西海岸星海花园  | 3室2厅 | 96.37平米 | 西北 | 其他 | 有电梯', '低楼层(共27层)2010年建塔楼  -  金沙洲', '315万', '单价32687元/平米')
('https://image1.ljcdn.com/440100-inspection/761b8862-5840-4989-b747-9856a45d236f.jpg.296x216.jpg', '元邦明月金岸 实用三房两厅', '明月金岸花园  | 3室2厅 | 111.17平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2012年建塔楼  -  金沙洲', '320万', '单价28785元/平米')
('https://image1.ljcdn.com/440100-inspection/15eeaebf-82b0-4fea-ae9f-224d87446ee5.jpg.296x216.jpg', '春晖闲庭 方正四房', '春晖闲庭  | 4室2厅 | 152.26平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2004年建塔楼  -  南湖', '538万', '单价35335元/平米')
('https://image1.ljcdn.com/440100-inspection/ef0d6316-da5d-4761-8509-bdbbbe33da66.jpg.296x216.jpg', '实用舒适户型 配套完善', '万科蓝山  | 3室2厅 | 130平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2007年建塔楼  -  南湖', '390万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/57a7a5ce-60fe-4f64-8ff9-f34e01c456ff.jpg.296x216.jpg', '岭南雅院 电梯楼 舒适两房', '岭南雅院  | 2室1厅 | 78平米 | 南 | 其他 | 有电梯', '低楼层(共14层)2008年建塔楼  -  同德围', '285万', '单价36539元/平米')
('https://image1.ljcdn.com/440100-inspection/c054c0ee-70fc-4afc-a86c-662b46225aac.jpg.296x216.jpg', '电梯两房 交通便利', '合一国际  | 2室2厅 | 51.21平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2006年建塔楼  -  同和', '300万', '单价58583元/平米')
('https://image1.ljcdn.com/440100-inspection/59118e03-be42-4d42-95a3-7a26957e321d.jpg.296x216.jpg', '岭南新世界  高层大三房  格局好', '岭南新世界  | 3室2厅 | 114平米 | 东北 | 简装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  白云大道北', '500万', '单价43860元/平米')
('https://image1.ljcdn.com/440100-inspection/8cb2b949-fea0-49d8-bb3a-529d4ad72b43.jpg.296x216.jpg', '海德花园 实用两房 配套成熟 光线好', '海德花园  | 2室2厅 | 74.3平米 | 西 | 其他 | 有电梯', '高楼层(共10层)1999年建塔楼  -  新市', '262万', '单价35263元/平米')
('https://image1.ljcdn.com/440100-inspection/e5d41d88-edd8-45ec-8b45-253f0b9147c0.jpg.296x216.jpg', '景泰新村 中层一房 采光通风', '景泰新村景泰西七巷  | 1室1厅 | 35.44平米 | 西南 | 简装 | 无电梯', '高楼层(共7层)2008年建塔楼  -  广园路', '111万', '单价31321元/平米')
('https://image1.ljcdn.com/440100-inspection/eb7d6501-8664-45b7-a5f6-7030bd5bfc68.jpg.296x216.jpg', '黄石路 富力阳光美居 精装两房 方正实用', '富力阳光美居  | 2室1厅 | 73.13平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2001年建塔楼  -  黄石路', '240万', '单价32819元/平米')
('https://image1.ljcdn.com/440100-inspection/b48eab2e-4b8e-485d-9a35-bc1c4b73b9f9.jpg.296x216.jpg', '翠逸家园 南向 厅出阳台 精', '翠逸家园  | 2室2厅 | 83平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2000年建塔楼  -  机场路', '330万', '单价39760元/平米')
('https://image1.ljcdn.com/440100-inspection/aa26778f-a21b-425e-bbe5-963023846665.JPG.296x216.jpg', '白兰花园 电梯三房 采光通风好', '广信白兰花园  | 3室1厅 | 87.57平米 | 南 北 | 简装 | 有电梯', '高楼层(共9层)1998年建塔楼  -  广园路', '355万', '单价40539元/平米')
('https://image1.ljcdn.com/440100-inspection/22e957ae-3fbb-4080-a43a-93b86b5fd176.jpg.296x216.jpg', '机场路 百荣园 东向望白云山 通风采光好 安静舒适', '百荣园  | 2室1厅 | 71平米 | 东 | 简装 | 无电梯', '中楼层(共9层)2000年建塔楼  -  机场路', '215万', '单价30282元/平米')
('https://image1.ljcdn.com/440100-inspection/596a64f7-70ae-4c79-aacc-c831c32aac40.jpg.296x216.jpg', '金碧新城 2室 新装修 诚意出售', '金碧新城  | 2室2厅 | 65平米 | 东北 | 精装 | 有电梯', '中楼层(共32层)2006年建塔楼  -  石井', '225万', '单价34616元/平米')
('https://image1.ljcdn.com/440100-inspection/0625ba21-3f4b-446f-a16a-0be03d7d8931.jpg.296x216.jpg', '南航新村 电梯大三房 精装修', '南航新村  | 3室2厅 | 103.68平米 | 西北 | 其他 | 有电梯', '中楼层(共17层)1997年建塔楼  -  新市', '270万', '单价26042元/平米')
('https://image1.ljcdn.com/440100-inspection/5366b024-b272-43a9-a3c0-c2f85cfa64f6.jpg.296x216.jpg', '南航新村 电梯三房 楼层高', '南航新村  | 3室2厅 | 103平米 | 西 | 精装 | 有电梯', '高楼层(共17层)1997年建塔楼  -  新市', '260万', '单价25243元/平米')
('https://image1.ljcdn.com/440100-inspection/d3c2d6bc-066c-48c6-b6a2-7ea181945c63.jpg.296x216.jpg', '三元里大道 棠新街 星华居 *配套成熟', '星华居  | 3室2厅 | 72.79平米 | 西 | 其他', '低楼层(共9层)塔楼  -  新市', '185万', '单价25416元/平米')
('https://image1.ljcdn.com/440100-inspection/77d35e0c-1973-4b74-b60b-c49c836ceaaf.jpg.296x216.jpg', '云山诗意 望花园 温馨舒适', '云山诗意  | 4室2厅 | 63.49平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  白云大道北', '292.1万', '单价46000元/平米')
('https://image1.ljcdn.com/440100-inspection/637d09a1-9a36-4d52-93f8-042628a33bd8.jpg.296x216.jpg', '云山诗意 方正户型  实用四房 三个证', '云山诗意  | 4室2厅 | 62.69平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  白云大道北', '288.4万', '单价46000元/平米')
('https://image1.ljcdn.com/440100-inspection/d72a582b-ae34-451e-aeeb-d42516d2aac5.jpg.296x216.jpg', '富力桃园 两房 户型方正', '富力桃园  | 2室1厅 | 74.09平米 | 西北 | 其他 | 有电梯', '低楼层(共16层)2003年建塔楼  -  罗冲围', '245万', '单价33068元/平米')
('https://image1.ljcdn.com/440100-inspection/36938a3b-b873-484e-8237-cd99f63d6fee.jpg.296x216.jpg', '黄石立交 怡桂苑电梯三房 格局方正 实用', '怡桂苑  | 3室1厅 | 68.48平米 | 北 | 简装 | 有电梯', '高楼层(共13层)2001年建塔楼  -  黄石路', '180万', '单价26286元/平米')
('https://image1.ljcdn.com/440100-inspection/2815f926-6c05-4a55-a809-0b4f0e92f714.jpg.296x216.jpg', '嘉华苑 格局方正一房', '嘉华苑  | 1室1厅 | 39平米 | 西南 | 其他 | 无电梯', '高楼层(共9层)1995年建塔楼  -  机场路', '100万', '单价25642元/平米')
('https://image1.ljcdn.com/440100-inspection/0b58357c-ba65-4844-9d45-697d46551b8f.jpg.296x216.jpg', '东苑精装两房 格局方正', '南湖半山东苑  | 2室2厅 | 86.18平米 | 西南 | 精装 | 有电梯', '中楼层(共18层)2005年建塔楼  -  南湖', '260万', '单价30170元/平米')
('https://image1.ljcdn.com/440100-inspection/8201da92-444a-4d07-abf7-1fe0e7b7c188.jpg.296x216.jpg', '岭南新世界 精致六房 精装修 采光充足', '岭南新世界  | 6室2厅 | 216.76平米 | 北 | 简装 | 有电梯', '高楼层(共11层)2001年建塔楼  -  白云大道北', '1085万', '单价50056元/平米')
('https://image1.ljcdn.com/440100-inspection/7021bb30-d458-40e6-801b-dbc95e040346.jpg.296x216.jpg', '凯云新世界 南向三房 望花园', '凯云新世界  | 3室2厅 | 132.61平米 | 西南 | 其他 | 有电梯', '低楼层(共20层)板楼  -  白云大道北', '715万', '单价53918元/平米')
('https://image1.ljcdn.com/440100-inspection/bf6377f9-47b1-45ea-a473-11cf0e183f6b.JPG.296x216.jpg', '榕溪花园 1室1厅 80万', '榕溪花园  | 1室1厅 | 33.42平米 | 南 | 精装 | 无电梯', '高楼层(共8层)1996年建塔楼  -  石井', '80万', '单价23938元/平米')
('https://image1.ljcdn.com/440100-inspection/090f40ad-b5e1-4454-9918-7fe6b1618527.jpg.296x216.jpg', '白云山前山宿舍 正规两房 南北通透 光线充足', '白云山制药厂前山宿舍  | 2室2厅 | 70.89平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1995年建塔楼  -  南湖', '210万', '单价29624元/平米')
('https://image1.ljcdn.com/440100-inspection/3a3f007c-5df6-4f0c-a14b-267a18e00058.JPG.296x216.jpg', '纵横缤城 5室2厅 620万', '纵横缤城  | 5室2厅 | 162.01平米 | 东南 | 精装 | 有电梯', '低楼层(共18层)2009年建塔楼  -  新市', '620万', '单价38270元/平米')
('https://image1.ljcdn.com/440100-inspection/40f48f60-5909-406b-9f28-0347bbfe7f40.JPG.296x216.jpg', '城西花园 3室2厅 280万', '城西花园  | 3室2厅 | 88.83平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1999年建塔楼  -  金沙洲', '280万', '单价31521元/平米')
('https://image1.ljcdn.com/440100-inspection/b0a4e29c-8672-479e-a40e-a8a81e0100b0.JPG.296x216.jpg', '晓岛别墅 5室3厅 2600万', '晓岛别墅   | 独栋别墅 | 5室3厅 | 288.33平米 | 东 | 其他', '4层暂无数据  -  金沙洲', '2600万', '单价90175元/平米')
('https://image1.ljcdn.com/440100-inspection/f92f4773-1825-485b-8fd5-27f408c4a7ac.jpg.296x216.jpg', '乐得花园 5室2厅 490万', '乐得花园  | 5室2厅 | 213.1平米 | 南 | 其他 | 有电梯', '高楼层(共15层)2000年建塔楼  -  白云大道北', '490万', '单价22994元/平米')
('https://image1.ljcdn.com/440100-inspection/78d79d0a-6eb8-4e65-a68e-05bef246145c.jpg.296x216.jpg', '恒大御景半岛 4室2厅 500万', '恒大御景半岛  | 4室2厅 | 177平米 | 东 | 其他 | 有电梯', '高楼层(共31层)2007年建塔楼  -  金沙洲', '500万', '单价28249元/平米')
('https://image1.ljcdn.com/440100-inspection/1f5a26c3-421b-4211-b68b-5e95a7135ffe.jpg.296x216.jpg', '恒大御景半岛 4室2厅 430万', '恒大御景半岛  | 4室2厅 | 160平米 | 东 | 其他 | 有电梯', '高楼层(共31层)2007年建塔楼  -  金沙洲', '430万', '单价26875元/平米')
('https://image1.ljcdn.com/440100-inspection/b8e464e3-13d6-4664-89d4-227872c1b9ba.JPG.296x216.jpg', '汇侨新城南区 3室2厅 408万', '汇侨新城南区  | 3室2厅 | 137.86平米 | 西北 | 精装 | 有电梯', '低楼层(共17层)2000年建塔楼  -  新市', '408万', '单价29596元/平米')
('https://image1.ljcdn.com/440100-inspection/0331a709-9851-4f6d-9251-73b54678f3dc.jpg.296x216.jpg', '中海金沙馨园一期 3室2厅 330万', '中海金沙馨园一期  | 3室2厅 | 97平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2008年建塔楼  -  金沙洲', '330万', '单价34021元/平米')
('https://image1.ljcdn.com/440100-inspection/77d1c14b-0d2c-44f5-a4e5-bf23aee59890.jpg.296x216.jpg', '时代糖果三期 坐享80平方花园之乐 户型方正实用', '时代糖果三期  | 3室1厅 | 75.75平米 | 南 | 其他 | 有电梯', '低楼层(共18层)塔楼  -  金沙洲', '195万', '单价25743元/平米')
('https://image1.ljcdn.com/440100-inspection/9ed6365a-0194-4c6d-ac79-9a3d025a83bc.jpg.296x216.jpg', '乐得花园 1室1厅 115万', '乐得花园  | 1室1厅 | 38.58平米 | 南 | 简装 | 无电梯', '高楼层(共9层)2000年建塔楼  -  白云大道北', '115万', '单价29809元/平米')
('https://image1.ljcdn.com/440100-inspection/7521f993-186b-4f49-a527-d4a6f75b5e44.jpg.296x216.jpg', '成丰大厦 中装修 电梯实用三房', '成丰大厦  | 3室1厅 | 102平米 | 东南 | 简装 | 有电梯', '中楼层(共13层)1999年建塔楼  -  黄石路', '285万', '单价27942元/平米')
('https://image1.ljcdn.com/440100-inspection/1ca91190-3358-45ac-a6f9-4ecca29547ca.jpg.296x216.jpg', '中海金沙湾 二房 保养好', '中海金沙湾  | 2室2厅 | 83平米 | 东北 | 简装 | 有电梯', '高楼层(共33层)2007年建塔楼  -  金沙洲', '250万', '单价30121元/平米')
