('https://image1.ljcdn.com/440100-inspection/6b573c3a-c4c0-4c40-b022-71347142fc48.jpg.296x216.jpg', '凤凰城凤仪苑经典四房', '碧桂园凤凰城凤仪苑  | 4室2厅 | 136.93平米 | 东北 | 精装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '280万', '单价20449元/平米')
('https://image1.ljcdn.com/440100-inspection/e517f258-1593-48c2-8758-09a2477c32a7.jpg.296x216.jpg', '豪进山湖珺璟 复式单位 高层视野开阔', '豪进山湖珺璟  | 5室2厅 | 169.66平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2013年建塔楼  -  新塘', '424.2万', '单价25000元/平米')
('https://image1.ljcdn.com/440100-inspection/edb99883-a96d-4408-a150-5466cf2a9194.jpg.296x216.jpg', '翡翠绿洲 精装大三房 望花园 安静舒适', '翡翠绿洲森林半岛  | 3室2厅 | 147平米 | 东 西 | 精装 | 有电梯', '中楼层(共22层)2011年建塔楼  -  凤凰城', '310万', '单价21089元/平米')
('https://image1.ljcdn.com/440100-inspection/e1673ac0-620f-40b3-ae51-60310a975b31.jpg.296x216.jpg', '凤锦苑 山景洋房 方正大三房', '碧桂园凤凰城凤锦苑  | 3室2厅 | 135.22平米 | 东南 | 其他 | 有电梯', '低楼层(共24层)2002年建塔楼  -  凤凰城', '348万', '单价25736元/平米')
('https://image1.ljcdn.com/440100-inspection/test-3ec961c9-c6d0-4c21-b645-6613dbe4e18e.png.296x216.jpg', '新康花园 2室2厅 172万', '新康花园  | 2室2厅 | 95.65平米 | 南 | 其他 | 无电梯', '中楼层(共7层)板楼  -  新塘', '172万', '单价17983元/平米')
('https://image1.ljcdn.com/440100-inspection/test-34b31523-11a5-4cbd-aeb9-f2ebcafaf1c6.png.296x216.jpg', '惠百氏广场 1室1厅 141万', '惠百氏广场  | 1室1厅 | 54.14平米 | 东 | 精装 | 有电梯', '中楼层(共11层)塔楼  -  新塘', '141万', '单价26044元/平米')
('https://image1.ljcdn.com/440100-inspection/449ecac8-e887-4ad3-bce6-75939dd76528.jpg.296x216.jpg', '翡翠绿洲森林半岛 5室3厅 540万', '翡翠绿洲森林半岛  | 5室3厅 | 195.27平米 | 东 | 其他 | 有电梯', '高楼层(共24层)2011年建塔楼  -  凤凰城', '540万', '单价27655元/平米')
('https://image1.ljcdn.com/440100-inspection/f4ebbea1-1159-4a56-9f9e-58a33edb8929.jpg.296x216.jpg', '汇东国际花园 3室2厅 270万', '汇东国际花园  | 3室2厅 | 112平米 | 南 北 | 其他 | 有电梯', '中楼层(共28层)2017年建塔楼  -  新塘', '270万', '单价24108元/平米')
('https://image1.ljcdn.com/440100-inspection/e72661fe-affc-413a-9873-eb197e56454c.jpg.296x216.jpg', '新康花园 3室2厅 265万', '新康花园  | 3室2厅 | 130.78平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)板楼  -  新塘', '265万', '单价20264元/平米')
('https://image1.ljcdn.com/440100-inspection/2299e9ec-c3a4-4141-9f1c-bb9af173bc8f.jpg.296x216.jpg', '城市家园二期 3室2厅 200万', '城市家园二期  | 3室2厅 | 108.94平米 | 南 | 其他', '高楼层(共28层)塔楼  -  新塘', '200万', '单价18359元/平米')
('https://image1.ljcdn.com/440100-inspection/db1617d8-3d1b-43ff-9551-582ff4f7c672.jpg.296x216.jpg', '翡翠绿洲 湖翠苑 百万装修 大4房', '翡翠绿洲湖翠苑  | 4室2厅 | 252.88平米 | 南 北 | 其他 | 有电梯', '低楼层(共24层)2011年建塔楼  -  凤凰城', '531.1万', '单价21001元/平米')
('https://image1.ljcdn.com/440100-inspection/test-5e99a224-5156-4b31-9abe-c45f7c74c966.png.296x216.jpg', '翡翠绿洲 森林半岛 精装修两房', '翡翠绿洲森林半岛  | 2室2厅 | 92.09平米 | 东 西 | 其他 | 有电梯', '低楼层(共25层)2011年建塔楼  -  凤凰城', '208万', '单价22587元/平米')
('https://image1.ljcdn.com/440100-inspection/04aa1a77-7a55-4666-9bc7-3c4b6e68edc2.jpg.296x216.jpg', '东凌广场 毛坯两房 户型方正', '东凌广场  | 2室2厅 | 75.25平米 | 北 | 毛坯 | 有电梯', '低楼层(共16层)2014年建塔楼  -  凤凰城', '175万', '单价23256元/平米')
('https://image1.ljcdn.com/440100-inspection/176be30a-3cf8-4e38-9fb4-59b118dbc1bd.jpg.296x216.jpg', '城市家园 南向大两房 卧室全朝南', '城市家园二期  | 2室2厅 | 91.75平米 | 南 | 精装', '中楼层(共28层)塔楼  -  新塘', '165万', '单价17984元/平米')
('https://image1.ljcdn.com/440100-inspection/eb911967-1fe7-4739-bb22-cef83c6efdfb.jpg.296x216.jpg', '富雅名居 2室2厅 143万', '富雅名居  | 2室2厅 | 71.34平米 | 西南 | 其他 | 无电梯', '中楼层(共8层)塔楼  -  新塘', '143万', '单价20045元/平米')
('https://image1.ljcdn.com/440100-inspection/eab181dc-7f5a-47be-9b37-1616bda6c614.jpg.296x216.jpg', '碧桂园凤凰城凤晴苑 2室2厅 186万', '碧桂园凤凰城凤晴苑  | 2室2厅 | 71.64平米 | 北 | 其他 | 有电梯', '中楼层(共28层)2002年建塔楼  -  凤凰城', '186万', '单价25964元/平米')
('https://image1.ljcdn.com/440100-inspection/25112677-6ca7-4296-ae9f-9bab18f7d730.jpg.296x216.jpg', '新都盛世名门 2室2厅 215万', '新都盛世名门  | 2室2厅 | 84.19平米 | 西北 东北 | 其他 | 有电梯', '低楼层(共28层)2012年建塔楼  -  新塘', '215万', '单价25538元/平米')
('https://image1.ljcdn.com/440100-inspection/e71fc3df-7240-4a97-8bc3-8ed98551f422.jpg.296x216.jpg', '新康花园 3室2厅 190万', '新康花园  | 3室2厅 | 111.27平米 | 东北 | 精装 | 无电梯', '中楼层(共7层)塔楼  -  新塘', '190万', '单价17076元/平米')
('https://image1.ljcdn.com/440100-inspection/6d10e18d-8776-4473-9877-44be425e25ad.jpg.296x216.jpg', '凤馨苑精装三房 带车位 景观好', '碧桂园凤凰城凤馨苑  | 3室2厅 | 95.73平米 | 西北 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '255万', '单价26638元/平米')
('https://image1.ljcdn.com/440100-inspection/c3bd327d-d2e1-4ddf-a57b-dc7e2a56ecd5.jpg.296x216.jpg', '金泽h庭 南北对流 精装两房', '金泽豪庭  | 2室2厅 | 82.73平米 | 北 | 精装 | 有电梯', '低楼层(共27层)2009年建塔楼  -  新塘', '202万', '单价24417元/平米')
('https://image1.ljcdn.com/440100-inspection/5bbcd3fc-9d66-4b76-957b-5b987b26da4c.jpg.296x216.jpg', '新都盛世名门 2室2厅 220万', '新都盛世名门  | 2室2厅 | 84.35平米 | 东北 | 其他 | 有电梯', '低楼层(共28层)2012年建塔楼  -  新塘', '220万', '单价26082元/平米')
('https://image1.ljcdn.com/440100-inspection/862b7c12-be4e-4587-817b-874f376105bf.jpg.296x216.jpg', '新康花园 精装两房 交通便利 配套齐', '新康花园  | 3室2厅 | 111.27平米 | 西北 | 其他 | 无电梯', '中楼层(共7层)塔楼  -  新塘', '182万', '单价16357元/平米')
('https://image1.ljcdn.com/440100-inspection/f0dcbeb7-028c-480d-924a-3c010dbf8d18.jpg.296x216.jpg', '凤凰城凤锦苑精装三房 南北对流', '碧桂园凤凰城凤锦苑  | 4室2厅 | 135平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共24层)2002年建塔楼  -  凤凰城', '392万', '单价29038元/平米')
('https://image1.ljcdn.com/440100-inspection/70cf7733-8209-4c95-a269-fb6d59f375b9.jpg.296x216.jpg', '新康花园康怡苑四房 小区中间位置 安静不吵', '新康花园  | 4室2厅 | 123.25平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  新塘', '193万', '单价15660元/平米')
('https://image1.ljcdn.com/440100-inspection/7121ca76-d647-4bba-b835-87f4e3c7310d.jpg.296x216.jpg', '汇美体育花园 4室2厅 260万', '汇美体育花园  | 4室2厅 | 142.23平米 | 东 | 其他 | 有电梯', '中楼层(共9层)塔楼  -  新塘', '260万', '单价18281元/平米')
('https://image1.ljcdn.com/440100-inspection/4f9db926-f051-4c37-93a4-dc2474250cf2.jpg.296x216.jpg', '新塘新世界花园万象苑 3室2厅 334万', '新塘新世界花园万象苑  | 3室2厅 | 139平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2012年建塔楼  -  新塘', '334万', '单价24029元/平米')
('https://image1.ljcdn.com/440100-inspection/4b14dc8b-b2cf-4230-bdbf-027231dbba7d.jpg.296x216.jpg', '惠百氏广场 3室2厅 230万', '惠百氏广场  | 3室2厅 | 88.97平米 | 西 | 精装 | 有电梯', '高楼层(共11层)塔楼  -  新塘', '230万', '单价25852元/平米')
('https://image1.ljcdn.com/440100-inspection/655d42ac-94d3-4170-be2e-9398c9050efe.jpg.296x216.jpg', '新塘新世界花园嘉华苑 3室2厅 200万', '新塘新世界花园嘉华苑  | 3室2厅 | 95.04平米 | 南 | 其他 | 无电梯', '低楼层(共7层)塔楼  -  新塘', '200万', '单价21044元/平米')
('https://image1.ljcdn.com/440100-inspection/620405c0-0321-4ed4-9c24-a5954402ebf2.jpg.296x216.jpg', '东方名都 4室2厅 330万', '东方名都  | 4室2厅 | 107.5平米 | 南 | 其他 | 有电梯', '低楼层(共15层)2012年建塔楼  -  新塘', '330万', '单价30698元/平米')
('https://image1.ljcdn.com/440100-inspection/ab3cb7d1-144d-4fe8-8a09-cd5507cf6108.jpg.296x216.jpg', '汇东国际花园 3室2厅 290万', '汇东国际花园  | 3室2厅 | 110.44平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2016年建塔楼  -  新塘', '290万', '单价26259元/平米')
('https://image1.ljcdn.com/440100-inspection/5ed5913f-6a11-45ef-8e35-2f17323d9fbf.jpg.296x216.jpg', '锦绣新天地 3室1厅 299万', '锦绣新天地  | 3室1厅 | 132.6平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2012年建塔楼  -  新塘', '299万', '单价22550元/平米')
('https://image1.ljcdn.com/440100-inspection/20bd78cb-98d8-4bf4-a22a-8f9e0f12b2d5.jpg.296x216.jpg', '金泽豪庭 白江地铁口旁 精装三房', '金泽豪庭  | 3室2厅 | 125.43平米 | 南 北 | 精装 | 有电梯', '高楼层(共26层)2007年建塔楼  -  新塘', '315万', '单价25114元/平米')
('https://image1.ljcdn.com/440100-inspection/caa0a9e1-e939-4d61-9f22-3e6f0a7e9ecc.jpg.296x216.jpg', '假日花园 交通便利 环境舒适 东南向', '假日花园  | 3室2厅 | 106.43平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)塔楼  -  新塘', '265万', '单价24899元/平米')
('https://image1.ljcdn.com/440100-inspection/2257494e-2c58-4a94-9a9a-08e9dbe8172f.jpg.296x216.jpg', '新世界花园 交通便利', '新塘新世界花园嘉华苑  | 3室2厅 | 95.04平米 | 南 | 精装 | 无电梯', '中楼层(共7层)塔楼  -  新塘', '210万', '单价22096元/平米')
('https://image1.ljcdn.com/440100-inspection/888dc935-da2b-4d71-840d-76168c58434a.jpg.296x216.jpg', '凤凰城凤馨苑精装三房 对流户型', '碧桂园凤凰城凤馨苑  | 3室2厅 | 96.22平米 | 北 | 精装 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '220万', '单价22865元/平米')
('https://image1.ljcdn.com/440100-inspection/08e55251-ea44-4dd8-8756-c3bcf6a836e3.jpg.296x216.jpg', '碧桂园凤凰城凤馨苑 3室2厅 255万', '碧桂园凤凰城凤馨苑  | 3室2厅 | 96.35平米 | 北 | 精装 | 有电梯', '高楼层(共11层)2002年建塔楼  -  凤凰城', '255万', '单价26467元/平米')
('https://image1.ljcdn.com/440100-inspection/cb6eb395-8bfa-4031-b4e9-ec01d47906e1.jpg.296x216.jpg', '新景豪庭 实用两房', '新景豪庭  | 2室2厅 | 88.74平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2016年建塔楼  -  新塘', '186万', '单价20961元/平米')
('https://image1.ljcdn.com/440100-inspection/d64ea691-fcaf-45de-99e3-97753f3b4fd3.jpg.296x216.jpg', '碧桂园凤凰城凤晴苑 1室1厅 120万', '碧桂园凤凰城凤晴苑  | 1室1厅 | 52平米 | 西 | 其他 | 有电梯', '高楼层(共28层)2002年建塔楼  -  凤凰城', '120万', '单价23077元/平米')
('https://image1.ljcdn.com/440100-inspection/220eb9c2-cc89-4997-8e7e-e47fd96e6a90.jpg.296x216.jpg', '碧桂园凤凰城凤馨苑 2室2厅 230万', '碧桂园凤凰城凤馨苑  | 2室2厅 | 99.17平米 | 北 | 其他 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '230万', '单价23193元/平米')
('https://image1.ljcdn.com/440100-inspection/4bae66f0-fb34-4ef2-8cca-4f3813822a5f.jpg.296x216.jpg', '凤馨苑  三房带主套   近门岗单边位   新装修', '碧桂园凤凰城凤馨苑  | 3室2厅 | 96.6平米 | 北 | 精装 | 有电梯', '中楼层(共11层)2002年建塔楼  -  凤凰城', '245万', '单价25363元/平米')
('https://image1.ljcdn.com/440100-inspection/b6f428f4-1482-4eff-9443-d37a3408f417.jpg.296x216.jpg', '新康花园 南北通透大四房 满五唯一 业主诚心出售', '新康花园  | 3室3厅 | 144.76平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)塔楼  -  新塘', '235万', '单价16234元/平米')
('https://image1.ljcdn.com/440100-inspection/5c6ad066-06ec-4d11-a097-be8c53ab9ab1.jpg.296x216.jpg', '新塘新世界花园嘉华苑 2室2厅 160万', '新塘新世界花园嘉华苑  | 2室2厅 | 79.23平米 | 南 | 简装 | 无电梯', '高楼层(共7层)塔楼  -  新塘', '160万', '单价20195元/平米')
('https://image1.ljcdn.com/440100-inspection/594ce6fa-409e-432a-be9c-ecb4c65b59ed.jpg.296x216.jpg', '盛世实用1房，年轻人的温暖小窝 ！', '新都盛世名门宏城汇  | 1室2厅 | 46.6平米 | 东 | 精装', '高楼层(共22层)2012年建塔楼  -  新塘', '130万', '单价27897元/平米')
('https://image1.ljcdn.com/440100-inspection/test-c3155a09-399f-4bd8-ad4f-afee1c2abab0.png.296x216.jpg', '凤妍苑 东南向  精装3房  采光好 视野开阔', '碧桂园凤凰城凤妍苑  | 3室2厅 | 93.95平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '250万', '单价26610元/平米')
('https://image1.ljcdn.com/440100-inspection/02a43edf-7d3c-4346-8128-7816c8b56497.jpg.296x216.jpg', '东方名都3房复式 带装修 看房方便', '东方名都  | 3室3厅 | 82.18平米 | 北 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  新塘', '220万', '单价26771元/平米')
('https://image1.ljcdn.com/440100-inspection/1ec51f5d-9c08-438a-9cb4-9eb3c3f388f5.jpg.296x216.jpg', '凤凰城凤妍苑 安静3房', '碧桂园凤凰城凤妍苑  | 3室2厅 | 99平米 | 西 | 其他 | 有电梯', '中楼层(共11层)2002年建塔楼  -  凤凰城', '255万', '单价25758元/平米')
('https://image1.ljcdn.com/440100-inspection/5543bbb5-0ece-4bff-9fc4-39cb8b7bcd41.jpg.296x216.jpg', '汇东国际花园 新装修 格局方正 安静', '汇东国际花园  | 2室2厅 | 84.78平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2016年建塔楼  -  新塘', '216万', '单价25478元/平米')
('https://image1.ljcdn.com/440100-inspection/aa2f30bf-0373-4891-b936-d6009963e377.jpg.296x216.jpg', '新康花园康馨苑1房 南向 交通便利', '新康花园康馨苑  | 1室0厅 | 44.06平米 | 南 | 其他', '低楼层(共11层)塔楼  -  新塘', '82万', '单价18611元/平米')
('https://image1.ljcdn.com/440100-inspection/75dda81f-17a0-4098-b05b-47f8dcb0574b.jpg.296x216.jpg', '海伦堡 大三房 南北对流 楼层好', '广州海伦堡  | 3室1厅 | 100.8平米 | 北 | 其他 | 有电梯', '中楼层(共12层)2008年建塔楼  -  新塘', '225万', '单价22322元/平米')
('https://image1.ljcdn.com/440100-inspection/dd25280c-4897-4ec8-8665-1c38c27b6414.jpg.296x216.jpg', '城市家园一期 4室2厅 261万', '城市家园一期  | 4室2厅 | 167.19平米 | 南 | 简装 | 有电梯', '中楼层(共19层)2007年建塔楼  -  新塘', '261万', '单价15611元/平米')
('https://image1.ljcdn.com/440100-inspection/650a9020-1867-43cb-9a6c-94d4f81e30b9.jpg.296x216.jpg', '翡翠绿洲  十一期 满两年精装 南向大两房', '翡翠绿洲湖绣苑  | 2室2厅 | 95.53平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2011年建塔楼  -  凤凰城', '235万', '单价24600元/平米')
('https://image1.ljcdn.com/440100-inspection/test-6c7e84ca-6dc2-424b-b5ee-38aa763c677f.png.296x216.jpg', '新世界花园 精装中楼层 三房两厅', '新塘新世界花园万象苑  | 3室2厅 | 95.6平米 | 东北 | 其他 | 有电梯', '中楼层(共16层)2009年建塔楼  -  新塘', '243万', '单价25419元/平米')
('https://image1.ljcdn.com/440100-inspection/98157b25-d174-4b44-b78a-43892b410b23.jpg.296x216.jpg', '凤凰城凤馨苑 地理位置好 送车位', '碧桂园凤凰城凤馨苑  | 3室2厅 | 95.73平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2002年建塔楼  -  凤凰城', '265万', '单价27683元/平米')
('https://image1.ljcdn.com/440100-inspection/3447c843-d780-4868-914d-438196e5caef.jpg.296x216.jpg', '凤凰城 凤仪苑 刚需小两房 户型方正', '碧桂园凤凰城凤仪苑  | 2室2厅 | 57.06平米 | 西 | 简装 | 无电梯', '低楼层(共6层)2002年建塔楼  -  凤凰城', '153万', '单价26814元/平米')
('https://image1.ljcdn.com/440100-inspection/42282a02-d1a2-4d86-b109-a4eae116f323.jpg.296x216.jpg', '凤馨苑 精装三房  南北通透的户型', '碧桂园凤凰城凤馨苑  | 3室2厅 | 95.96平米 | 北 | 其他 | 有电梯', '低楼层(共18层)2002年建塔楼  -  凤凰城', '238万', '单价24803元/平米')
('https://image1.ljcdn.com/440100-inspection/6331f406-e046-46fe-868f-698ff9994015.jpg.296x216.jpg', '东凌广场   毛坯3房   南北对流', '东凌广场  | 3室2厅 | 103平米 | 北 | 毛坯 | 有电梯', '高楼层(共31层)2014年建塔楼  -  凤凰城', '240万', '单价23301元/平米')
('https://image1.ljcdn.com/440100-inspection/40ea98e5-f37e-43db-b0af-52ea0b219b25.jpg.296x216.jpg', '碧桂园凤凰城凤馨苑 3室2厅 285万', '碧桂园凤凰城凤馨苑  | 3室2厅 | 100.41平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2002年建塔楼  -  凤凰城', '285万', '单价28384元/平米')
('https://image1.ljcdn.com/440100-inspection/test-feef0571-768d-4c12-b97d-2edee8d59379.png.296x216.jpg', '凤馨苑南向三房两卫 中高楼层', '碧桂园凤凰城凤馨苑  | 3室2厅 | 100平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2002年建塔楼  -  凤凰城', '260万', '单价26000元/平米')
('https://image1.ljcdn.com/440100-inspection/4fd9c5e3-9362-46ea-9a69-e43405071f0c.jpg.296x216.jpg', '凤凰城凤馨苑 精装三房 双阳双卫', '碧桂园凤凰城凤馨苑  | 3室2厅 | 93.29平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2002年建塔楼  -  凤凰城', '230万', '单价24655元/平米')
('https://image1.ljcdn.com/440100-inspection/c4fcaa3d-c2f6-4014-8e72-c814046685cc.jpg.296x216.jpg', '锦绣新天地 3室2厅 203.8万', '锦绣新天地  | 3室2厅 | 88.8平米 | 东南 | 其他 | 有电梯', '低楼层(共16层)2009年建塔楼  -  新塘', '203.8万', '单价22951元/平米')
('https://image1.ljcdn.com/440100-inspection/b906f8ff-e916-4c97-9a65-3edf84136e8e.jpg.296x216.jpg', '翡翠绿洲森林半岛 2室2厅 208万', '翡翠绿洲森林半岛  | 2室2厅 | 87.76平米 | 西 | 其他 | 有电梯', '高楼层(共24层)2011年建塔楼  -  凤凰城', '208万', '单价23702元/平米')
('https://image1.ljcdn.com/440100-inspection/test-7fe0e3ff-f666-47e1-a61e-6e856226b6be.png.296x216.jpg', '森林半岛 精装修两房 户型方正', '翡翠绿洲森林半岛  | 2室2厅 | 84.97平米 | 北 | 精装 | 有电梯', '低楼层(共9层)2011年建塔楼  -  凤凰城', '208万', '单价24480元/平米')
('https://image1.ljcdn.com/440100-inspection/aff74e54-e5a8-4a2f-9614-bf3aa2a08866.jpg.296x216.jpg', '新康花园 2室2厅 180万', '新康花园  | 2室2厅 | 89.63平米 | 北 | 精装 | 有电梯', '高楼层(共11层)塔楼  -  新塘', '180万', '单价20083元/平米')
('https://image1.ljcdn.com/440100-inspection/341a289f-77bd-4d71-a8d8-47a4a8e349a2.jpg.296x216.jpg', '东方名都 1室1厅 135万', '东方名都  | 1室1厅 | 50.33平米 | 北 | 精装 | 有电梯', '低楼层(共17层)2012年建塔楼  -  新塘', '135万', '单价26823元/平米')
('https://image1.ljcdn.com/440100-inspection/c1103413-5101-496f-aa15-fe4f4f2a0a23.jpg.296x216.jpg', '凤凰城 凤馨苑 精装两房', '碧桂园凤凰城凤馨苑  | 2室2厅 | 92.69平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '225万', '单价24275元/平米')
('https://image1.ljcdn.com/440100-inspection/4149a8b5-9420-4000-aa26-7fc5f742b80a.jpg.296x216.jpg', '新康花园精装望花园三房两卫满两年看房方便', '新康花园  | 3室2厅 | 109.86平米 | 西北 | 精装 | 无电梯', '高楼层(共7层)塔楼  -  新塘', '175万', '单价15930元/平米')
('https://image1.ljcdn.com/440100-inspection/5f3eed75-41f7-46a8-bcf9-6481b596b89c.jpg.296x216.jpg', '凤晴苑 精装南向两房 位置安静舒适', '碧桂园凤凰城凤晴苑  | 2室2厅 | 80.89平米 | 南 | 简装 | 有电梯', '高楼层(共17层)塔楼  -  凤凰城', '215万', '单价26580元/平米')
('https://image1.ljcdn.com/440100-inspection/ab988780-b1f4-40fc-bd87-83010a478bc9.jpg.296x216.jpg', '凤凰城凤锦苑 精致三房', '碧桂园凤凰城凤锦苑  | 3室2厅 | 136.38平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2002年建塔楼  -  凤凰城', '350万', '单价25664元/平米')
('https://image1.ljcdn.com/440100-inspection/3b4df710-49a1-46ed-8967-fc723773cd84.jpg.296x216.jpg', '金泽豪庭 3室2厅 249.8万', '金泽豪庭  | 3室2厅 | 89.22平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2007年建塔楼  -  新塘', '249.8万', '单价27999元/平米')
('https://image1.ljcdn.com/440100-inspection/163265b0-3d4d-476b-93b4-267258b9eb7c.jpg.296x216.jpg', '凤凰城凤晴苑 舒适大四房', '碧桂园凤凰城凤晴苑  | 4室2厅 | 139.81平米 | 北 | 精装 | 有电梯', '低楼层(共22层)2002年建塔楼  -  凤凰城', '376万', '单价26894元/平米')
('https://image1.ljcdn.com/440100-inspection/e2e319ae-ea11-41db-bc5d-4cfb218cba86.jpg.296x216.jpg', '翡翠绿洲 森林半岛 毛坯可改三房', '翡翠绿洲森林半岛  | 2室1厅 | 92.36平米 | 东 西 | 毛坯 | 有电梯', '中楼层(共21层)2011年建塔楼  -  凤凰城', '210万', '单价22738元/平米')
('https://image1.ljcdn.com/440100-inspection/03d88236-b993-45aa-95b8-d22dee4247c7.jpg.296x216.jpg', '碧桂园凤凰城凤馨苑 3室2厅 230万', '碧桂园凤凰城凤馨苑  | 3室2厅 | 95.77平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2002年建塔楼  -  凤凰城', '230万', '单价24016元/平米')
('https://image1.ljcdn.com/440100-inspection/22e73306-3464-4e84-9f2a-1219305a508f.jpg.296x216.jpg', '盛世 宏城汇 地铁口小三房', '新都盛世名门  | 3室2厅 | 90平米 | 东南 | 精装 | 有电梯', '低楼层(共22层)2012年建塔楼  -  新塘', '220万', '单价24445元/平米')
