('https://image1.ljcdn.com/440100-inspection/6041f7ad-fc9d-431d-b322-271380747104.jpg.296x216.jpg', '小康人家 2室2厅 360万', '小康人家  | 2室2厅 | 89.76平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2002年建塔楼  -  坑口', '360万', '单价40107元/平米')
('https://image1.ljcdn.com/440100-inspection/4d23e452-416c-4a26-8400-955ba9a176bc.jpg.296x216.jpg', '保利塞纳维拉 3室2厅 310万', '保利塞纳维拉  | 3室2厅 | 94平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2015年建塔楼  -  龙溪', '310万', '单价32979元/平米')
('https://image1.ljcdn.com/440100-inspection/25618bec-f14e-463f-a8af-fe87aa1dcbcc.jpg.296x216.jpg', '芳华都汇 精装修两房 交通便利', '远大芳华都汇  | 2室1厅 | 89.43平米 | 东南 | 精装 | 有电梯', '低楼层(共28层)2010年建塔楼  -  东塱', '295万', '单价32987元/平米')
('https://image1.ljcdn.com/440100-inspection/93afebae-9455-47d1-8ddc-2cb7dae731fe.jpg.296x216.jpg', '丽和华庭 3室2厅 398万', '丽和华庭  | 3室2厅 | 96.03平米 | 东 | 精装', '高楼层(共17层)2011年建塔楼  -  茶滘', '398万', '单价41446元/平米')
('https://image1.ljcdn.com/440100-inspection/8ad8fefa-0955-49b9-983f-dc7825ac5048.jpg.296x216.jpg', '金宇花园 住家装修三房 大型小区', '金宇花园  | 3室2厅 | 86.88平米 | 北 | 简装 | 无电梯', '高楼层(共9层)1999年建塔楼  -  东塱', '217万', '单价24977元/平米')
('https://image1.ljcdn.com/440100-inspection/266134db-d106-43df-8828-cd2a948b54a5.jpg.296x216.jpg', '荔景华庭 3室1厅 390万', '荔景华庭  | 3室1厅 | 88.5平米 | 南 北 | 其他 | 有电梯', '高楼层(共15层)2011年建塔楼  -  西关', '390万', '单价44068元/平米')
('https://image1.ljcdn.com/440100-inspection/4771cd23-5924-423e-90ad-2b448a09cbc3.jpg.296x216.jpg', '沙涌新村 中层1房 沙涌地铁 新装修', '沙涌新村  | 1室1厅 | 30.1平米 | 东 | 其他 | 无电梯', '高楼层(共7层)塔楼  -  鹤洞', '95万', '单价31562元/平米')
('https://image1.ljcdn.com/440100-inspection/d0ed1d6b-1b5c-4feb-afa2-4aa3527518e8.JPG.296x216.jpg', '富力环市西苑 南向三房 配套成熟', '富力环市西苑  | 3室2厅 | 98.72平米 | 东 | 精装 | 有电梯', '中楼层(共15层)2000年建塔楼  -  西村', '495万', '单价50142元/平米')
('https://image1.ljcdn.com/440100-inspection/d5a20879-661e-46c1-a997-f11dfa693c01.jpg.296x216.jpg', '文昌雅居 2室1厅 350万', '文昌雅居  | 2室1厅 | 69.73平米 | 西南 | 其他 | 有电梯', '低楼层(共32层)2006年建塔楼  -  西关', '350万', '单价50194元/平米')
('https://image1.ljcdn.com/440100-inspection/66767b58-970d-46be-ab99-3ea4223176fc.jpg.296x216.jpg', '广雅路 2室1厅 160万', '广雅路  | 2室1厅 | 49.38平米 | 西 | 其他 | 无电梯', '中楼层(共8层)塔楼  -  西村', '160万', '单价32402元/平米')
('https://image1.ljcdn.com/440100-inspection/864fdfff-2b09-49eb-bab3-4a7f2e1bb215.jpg.296x216.jpg', '芬芳小区 2室2厅 178万', '芬芳小区  | 2室2厅 | 59平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)1996年建塔楼  -  汾水', '178万', '单价30170元/平米')
('https://image1.ljcdn.com/440100-inspection/5aa7fbe8-7ea5-4d1e-8b16-970813ea3d89.jpg.296x216.jpg', '宝华路 宝华豪庭 出行方便 配套齐', '宝华豪庭  | 1室0厅 | 22.28平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2000年建塔楼  -  西关', '128万', '单价57451元/平米')
('https://image1.ljcdn.com/440100-inspection/f07abb07-5150-4c1e-9213-9a2a6a05942e.jpg.296x216.jpg', '新世界逸彩庭园A区 3室2厅 330万', '新世界逸彩庭园A区  | 3室2厅 | 77.77平米 | 东 西 | 其他 | 无电梯', '中楼层(共7层)2007年建塔楼  -  滘口', '330万', '单价42433元/平米')
('https://image1.ljcdn.com/440100-inspection/04b7a0fc-dd50-419e-9068-06353dfe9169.jpg.296x216.jpg', '牡丹阁 2室1厅 165万', '牡丹阁  | 2室1厅 | 62.68平米 | 南 | 其他 | 无电梯', '高楼层(共9层)2000年建塔楼  -  茶滘', '165万', '单价26325元/平米')
('https://image1.ljcdn.com/440100-inspection/72e07347-b950-4b99-9260-05a55d5a7686.jpg.296x216.jpg', '恒荔湾畔 2室1厅 360万', '恒荔湾畔  | 2室1厅 | 74.06平米 | 西北 | 其他 | 有电梯', '高楼层(共31层)2008年建塔楼  -  芳村大道', '360万', '单价48610元/平米')
('https://image1.ljcdn.com/440100-inspection/1fb2e8d9-8161-4171-8c7d-c0f33afa2108.JPG.296x216.jpg', '荔湾广场 西南向 两房 原户型 实用', '荔湾广场  | 2室1厅 | 80平米 | 西南 | 简装 | 有电梯', '中楼层(共30层)2000年建塔楼  -  人民路', '198万', '单价24750元/平米')
('https://image1.ljcdn.com/440100-inspection/38ff410b-7428-4dcd-8778-ca182a54917c.jpg.296x216.jpg', '新世界逸彩庭园 东南向 无遮挡', '新世界逸彩庭园朗逸庭  | 3室2厅 | 92.4平米 | 东南 | 其他 | 有电梯', '高楼层(共21层)2007年建塔楼  -  滘口', '396万', '单价42858元/平米')
('https://image1.ljcdn.com/440100-inspection/a63828cd-4a79-429b-8d2a-3a4866ffea94.jpg.296x216.jpg', '四季花园坑口地铁 高层东南向，小3房', '四季花园  | 3室2厅 | 94平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2005年建塔楼  -  坑口', '370万', '单价39362元/平米')
('https://image1.ljcdn.com/440100-inspection/b52121e7-b9c1-4f9f-a8c3-7c87ab55779f.jpg.296x216.jpg', '新世界逸彩庭园 2房1厅 400万元', '新世界凯粤湾  | 2室1厅 | 88平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2012年建塔楼  -  滘口', '400万', '单价45455元/平米')
('https://image1.ljcdn.com/440100-inspection/e91c0430-2a00-4a6b-b70b-b9c223c2af9a.jpg.296x216.jpg', '逸彩新世界  小区管理', '新世界逸彩庭园A区  | 3室2厅 | 79.02平米 | 东北 | 精装 | 无电梯', '中楼层(共7层)2007年建塔楼  -  滘口', '325万', '单价41129元/平米')
('https://image1.ljcdn.com/440100-inspection/4ee6f00e-8346-482b-8184-bfaae1ba4d64.jpg.296x216.jpg', '穗芳阁 保养新净 通风透气 采光好', '穗芳阁  | 2室2厅 | 58.5平米 | 东南 | 其他 | 无电梯', '中楼层(共9层)1996年建塔楼  -  滘口', '165万', '单价28206元/平米')
('https://image1.ljcdn.com/440100-inspection/e5587ac0-9e60-4c74-8a1f-ddcffdf50898.jpg.296x216.jpg', '芳雅苑 幽静小区 中层2房 封闭小区', '芳雅苑  | 2室1厅 | 45.58平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1995年建塔楼  -  滘口', '130万', '单价28522元/平米')
('https://image1.ljcdn.com/440100-inspection/2c8d5c76-5a21-4dde-8873-e3df85c3ca0b.jpg.296x216.jpg', '鹤景楼 电梯2房 沙涌地铁 都有窗', '鹤景楼  | 2室1厅 | 65平米 | 西 | 其他 | 无电梯', '低楼层(共9层)1998年建塔楼  -  鹤洞', '240万', '单价36924元/平米')
('https://image1.ljcdn.com/440100-inspection/90dd63e9-c8f3-4ecd-b230-73aab8e6daa1.jpg.296x216.jpg', '金宇花园 低层舒适两房 南向望花园', '金宇花园  | 2室1厅 | 57.28平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1998年建塔楼  -  东塱', '165万', '单价28806元/平米')
('https://image1.ljcdn.com/440100-inspection/cfd55d1b-de2f-4bfd-8e61-92652dcf5277.jpg.296x216.jpg', '恒荔湾畔 电梯2房 保养较好', '恒荔湾畔  | 2室2厅 | 74.26平米 | 西南 | 其他 | 有电梯', '中楼层(共31层)2008年建塔楼  -  芳村大道', '365万', '单价49152元/平米')
('https://image1.ljcdn.com/440100-inspection/d2c65da2-6993-4943-b3ba-fd215060edd6.jpg.296x216.jpg', '沙涌新村 小户型 交通便利', '芳村大道东沙洲街  | 2室2厅 | 74平米 | 东南 | 其他 | 无电梯', '低楼层(共9层)塔楼  -  鹤洞', '220万', '单价29730元/平米')
('https://image1.ljcdn.com/440100-inspection/8161b500-07fe-4406-aa06-0cd3a6c096de.jpg.296x216.jpg', '恒利翠竹苑 电梯3房 交通便利', '恒利翠竹苑一期  | 3室2厅 | 102平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2007年建塔楼  -  花地大道', '398万', '单价39020元/平米')
('https://image1.ljcdn.com/440100-inspection/a520c72a-7635-443e-acd7-19e67ff2da71.jpg.296x216.jpg', '世纪广场 3室1厅 430万', '世纪广场  | 3室1厅 | 93.65平米 | 东 | 其他 | 有电梯', '低楼层(共33层)1999年建塔楼  -  陈家祠', '430万', '单价45916元/平米')
('https://image1.ljcdn.com/440100-inspection/72c06259-7f9f-41f7-a2f8-28e876c66c6e.JPG.296x216.jpg', '逸翠湾 4室2厅 1260万', '逸翠湾  | 4室2厅 | 210.15平米 | 东南 | 其他 | 有电梯', '高楼层(共49层)2009年建塔楼  -  黄沙', '1260万', '单价59958元/平米')
('https://image1.ljcdn.com/440100-inspection/7de4f6ed-5d66-4734-88f0-334675420881.jpg.296x216.jpg', '金道花园 一房改两房户型 交通便利', '金道花园  | 2室1厅 | 45平米 | 东 | 其他 | 无电梯', '高楼层(共9层)2000年建塔楼  -  鹤洞', '126万', '单价28000元/平米')
('https://image1.ljcdn.com/440100-inspection/82563b8b-c8cc-410a-b743-77a3c430dc8a.jpg.296x216.jpg', '荔新大厦 地铁西村站 保养好安静', '荔新大厦  | 2室2厅 | 75平米 | 南 | 其他', '中楼层(共9层)塔楼  -  西村', '338万', '单价45067元/平米')
('https://image1.ljcdn.com/440100-inspection/ebb20f58-8c1c-4b55-94fd-45cfabfbda3e.jpg.296x216.jpg', '新世界逸彩庭园  园林小区 楼龄新', '新世界逸彩庭园朗逸庭  | 3室2厅 | 96平米 | 西北 | 其他 | 有电梯', '高楼层(共25层)2007年建塔楼  -  滘口', '380万', '单价39584元/平米')
('https://image1.ljcdn.com/440100-inspection/43fb90b5-8550-4342-95d3-d1c31d320260.jpg.296x216.jpg', '红棉苑 一楼复式两层 有私家花园', '红棉苑北区  | 3室2厅 | 162平米 | 东南 | 其他 | 无电梯', '低楼层(共9层)2000年建塔楼  -  花地大道', '518万', '单价31976元/平米')
('https://image1.ljcdn.com/440100-inspection/239873d3-801f-431b-a0e8-3f77eff495e5.jpg.296x216.jpg', '恒荔湾畔 两房一厅 交通便利', '恒荔湾畔  | 2室2厅 | 72平米 | 东北 | 其他 | 有电梯', '低楼层(共31层)2008年建塔楼  -  芳村大道', '345万', '单价47917元/平米')
('https://image1.ljcdn.com/440100-inspection/0508ac06-d59d-4d21-888c-205275fa40c6.jpg.296x216.jpg', '金鹤苑 3室1厅 190万', '金鹤苑  | 3室1厅 | 66.6平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2000年建塔楼  -  东塱', '190万', '单价28529元/平米')
('https://image1.ljcdn.com/440100-inspection/7a0f633d-c169-40bb-8819-e3101ba9dcff.jpg.296x216.jpg', '金道花园 电梯两房 近地铁 生活便利 小区环境好', '金道花园  | 2室2厅 | 78.99平米 | 东 | 其他 | 有电梯', '中楼层(共22层)2000年建塔楼  -  鹤洞', '245万', '单价31017元/平米')
('https://image1.ljcdn.com/440100-inspection/8183734f-a944-4b62-8c41-2880b14e1d35.jpg.296x216.jpg', '四季花园 2室2厅 320万', '四季花园  | 2室2厅 | 80.28平米 | 西北 | 其他 | 有电梯', '高楼层(共18层)2006年建塔楼  -  坑口', '320万', '单价39861元/平米')
('https://image1.ljcdn.com/440100-inspection/2c10cb1c-7a8a-47a9-a98c-237200b070b1.jpg.296x216.jpg', '芳村大道西 2室1厅 155万', '芳村大道西  | 2室1厅 | 57.3平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)1988年建塔楼  -  滘口', '155万', '单价27051元/平米')
('https://image1.ljcdn.com/440100-inspection/55fd320f-7174-4496-ab29-e1df5afbe7b7.jpg.296x216.jpg', '芬芳小区 2室1厅 175万', '芬芳小区  | 2室1厅 | 61.5平米 | 西北 | 简装 | 无电梯', '中楼层(共9层)1996年建塔楼  -  汾水', '175万', '单价28456元/平米')
('https://image1.ljcdn.com/440100-inspection/a46fbf7b-7224-4718-aa0a-3dc3c9ab584c.JPG.296x216.jpg', '西门口地铁站  厅出大阳台  东南向 楼龄新  四房', '富邦大厦富邦名寓  | 4室2厅 | 172.8平米 | 东南 | 精装 | 有电梯', '高楼层(共26层)2013年建塔楼  -  陈家祠', '950万', '单价54977元/平米')
('https://image1.ljcdn.com/440100-inspection/test-629c2a71-f31e-4f29-8a68-aeb9821023fb.png.296x216.jpg', '荔情居 中高层 大三房', '荔情居  | 3室2厅 | 116平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2004年建塔楼  -  西华路', '626万', '单价53966元/平米')
('https://image1.ljcdn.com/440100-inspection/e66d4109-ebe1-44d9-87a1-db4de185eac9.jpg.296x216.jpg', '荔湾广场 西南向电梯大三房 闹中取静', '荔湾广场  | 3室2厅 | 95.53平米 | 西南 | 简装 | 有电梯', '中楼层(共30层)2000年建塔楼  -  人民路', '230万', '单价24077元/平米')
('https://image1.ljcdn.com/440100-inspection/a3c0aa49-a212-437e-b6dd-447f0c40745d.jpg.296x216.jpg', '双阳台 新装修 从未入住过 花园小区', '中铁荔湾国际城  | 3室2厅 | 113.61平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2015年建塔楼  -  龙溪', '430万', '单价37849元/平米')
('https://image1.ljcdn.com/440100-inspection/test-2fe2c438-3f47-4c32-b11c-6e544de18e32.png.296x216.jpg', '六二三路沙面 1室1厅 158万', '六二三路沙面  | 1室1厅 | 27.09平米 | 东 南 | 其他 | 无电梯', '中楼层(共6层)塔楼  -  黄沙', '158万', '单价58325元/平米')
('https://image1.ljcdn.com/440100-inspection/8ae84e0b-9a6e-4d73-9ba3-3fdcd8da005b.jpg.296x216.jpg', '芳村大道东 方正两房 生活配套便利', '工商局宿舍  | 2室2厅 | 64.37平米 | 东南 | 其他', '中楼层(共9层)1995年建塔楼  -  芳村大道', '220万', '单价34178元/平米')
('https://image1.ljcdn.com/440100-inspection/372205b0-c92f-428f-a608-d6c7ecd38b48.jpg.296x216.jpg', '桥东小区 3室1厅 260万', '桥东小区  | 3室1厅 | 105.5平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1995年建塔楼  -  滘口', '260万', '单价24645元/平米')
('https://image1.ljcdn.com/440100-inspection/a944b3d6-d5fd-486d-bcde-12bd73dc86f5.jpg.296x216.jpg', '荔湾广场 3室2厅 235万', '荔湾广场  | 3室2厅 | 95.53平米 | 西南 | 其他 | 有电梯', '中楼层(共30层)2000年建塔楼  -  人民路', '235万', '单价24600元/平米')
('https://image1.ljcdn.com/440100-inspection/test-3ac0f729-1124-4486-aaa5-607a6e841809.png.296x216.jpg', '荔尚国际 实用电梯两房 旺中带静', '荔尚国际  | 2室2厅 | 68.09平米 | 北 | 简装 | 有电梯', '中楼层(共17层)2008年建塔楼  -  西关', '340万', '单价49934元/平米')
('https://image1.ljcdn.com/440100-inspection/3c6e7e2e-faa0-4234-a0e7-efd14cb86b4f.jpg.296x216.jpg', '中山七路紫贵坊 低层小户型 通风采光好 楼龄新', '金桃小区  | 2室1厅 | 49.55平米 | 东 | 简装 | 无电梯', '中楼层(共9层)1990年建塔楼  -  西华路', '160万', '单价32291元/平米')
('https://image1.ljcdn.com/440100-inspection/a93758cc-58ff-45f0-af45-3a0ac276403f.jpg.296x216.jpg', '周门小区 中高层大两房 采光通风好', '周门小区周门西街  | 2室2厅 | 63.46平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  荔湾路', '219万', '单价34510元/平米')
('https://image1.ljcdn.com/440100-inspection/1fe7ebcf-8718-42c7-aa50-f238b6f3185c.jpg.296x216.jpg', '新世界凯粤湾 2室2厅 375万', '新世界凯粤湾  | 2室2厅 | 80.62平米 | 北 | 其他 | 有电梯', '低楼层(共33层)塔楼  -  滘口', '375万', '单价46515元/平米')
('https://image1.ljcdn.com/440100-inspection/6a968670-97c9-4dec-bb6f-1401d4c42631.JPG.296x216.jpg', '荔港南湾 望江景三房两卫 西南向 即可入住', '荔港南湾  | 3室2厅 | 145平米 | 西南 | 精装 | 有电梯', '低楼层(共34层)2008年建塔楼  -  南岸路', '590万', '单价40690元/平米')
('https://image1.ljcdn.com/440100-inspection/4aa773cb-adba-4014-84d3-301b4da6a42a.jpg.296x216.jpg', '加怡大厦 电梯两房 南向望江', '加怡大厦  | 2室2厅 | 62平米 | 东南 | 其他 | 有电梯', '低楼层(共22层)1999年建塔楼  -  芳村大道', '215万', '单价34678元/平米')
('https://image1.ljcdn.com/440100-inspection/8708b258-be26-4c80-9a21-58646e921ef9.jpg.296x216.jpg', '芬芳小区 2室2厅 180万', '芬芳小区  | 2室2厅 | 63.84平米 | 东南 | 其他 | 无电梯', '中楼层(共9层)1996年建塔楼  -  汾水', '180万', '单价28196元/平米')
