('https://image1.ljcdn.com/440100-inspection/e0df61a8-104b-4ab7-9c42-4a78695b301f.jpg.296x216.jpg', '中层 南向 全线江景 二沙岛园景 小蛮腰夜景', '碧海湾  | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯', '中楼层(共28层)2003年建塔楼  -  珠江新城西', '2670万', '单价72139元/平米')
('https://image1.ljcdn.com/440100-inspection/89ed141c-8440-4680-93d7-cb58189c0d80.jpg.296x216.jpg', '春江花园 采光好 格局方正', '春江花园  | 2室2厅 | 83.78平米 | 北 | 精装 | 有电梯', '中楼层(共16层)2000年建塔楼  -  棠下', '318万', '单价37957元/平米')
('https://image1.ljcdn.com/440100-inspection/c5f38634-633d-40ea-9d02-47a4bc9abb8e.jpg.296x216.jpg', '信华花园 电梯三房 安静望花园', '华景新城信华花园  | 3室2厅 | 109平米 | 西南 | 简装 | 有电梯', '中楼层(共31层)2012年建塔楼  -  华景新城', '650万', '单价59634元/平米')
('https://image1.ljcdn.com/440100-inspection/4695251f-d3b2-4bc6-87e7-ecdd3ca07c07.jpg.296x216.jpg', '富力天朗明居N区 3室2厅 520万', '富力天朗明居N区  | 3室2厅 | 110平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2002年建塔楼  -  棠下', '520万', '单价47273元/平米')
('https://image1.ljcdn.com/440100-inspection/test-b93ffadf-6876-440c-9db9-d948094bf03c.png.296x216.jpg', '电子五所小区 电梯高层南向三房 环境优美居住舒适', '电子五所宿舍  | 3室2厅 | 79.83平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1998年建塔楼  -  东莞庄', '450万', '单价56370元/平米')
('https://image1.ljcdn.com/440100-inspection/7f5ad7f8-3945-408a-aaef-b24e285207a6.jpg.296x216.jpg', '春晖苑 3室2厅 360万', '春晖苑  | 3室2厅 | 95.63平米 | 西 | 其他 | 无电梯', '高楼层(共9层)1997年建塔楼  -  东莞庄', '360万', '单价37646元/平米')
('https://image1.ljcdn.com/440100-inspection/6366632f-b37f-4370-a872-b8dbbacc7701.jpg.296x216.jpg', '天诚广场 南向四房 户型方正 采光好', '天诚广场  | 4室2厅 | 158平米 | 东南 | 其他 | 有电梯', '中楼层(共25层)1998年建塔楼  -  天润路', '800万', '单价50633元/平米')
('https://image1.ljcdn.com/440100-inspection/f3b3c1fb-1fde-4851-8b71-da7f3081557f.jpg.296x216.jpg', '中怡城市花园 南向大三房 居住舒适', '中怡城市花园  | 3室2厅 | 129.51平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2004年建塔楼  -  天河北', '1030万', '单价79531元/平米')
('https://image1.ljcdn.com/440100-inspection/d913c4f9-eb20-481f-a07f-4a626e6fbe60.jpg.296x216.jpg', '协和新世界二期 南北向两房 通风采光佳', '协和新世界  | 2室2厅 | 78.89平米 | 南 北 | 简装 | 有电梯', '中楼层(共32层)2008年建塔楼  -  天润路', '578万', '单价73267元/平米')
('https://image1.ljcdn.com/440100-inspection/043bcb77-e465-424a-893b-87b0c3e2494a.jpg.296x216.jpg', '天河北路 东方之珠花园 实用两房 户型好', '东方之珠花园  | 2室2厅 | 98.98平米 | 西南 | 简装 | 有电梯', '高楼层(共28层)2004年建塔楼  -  天润路', '550万', '单价55567元/平米')
('https://image1.ljcdn.com/440100-inspection/test-187544e5-2011-48df-bfae-b6c5542d4b46.png.296x216.jpg', '天平花苑 3室2厅 281万', '天平花苑  | 3室2厅 | 91.59平米 | 西 | 简装 | 无电梯', '低楼层(共9层)1996年建塔楼  -  沙太南', '281万', '单价30681元/平米')
('https://image1.ljcdn.com/440100-inspection/a85acc87-3938-48be-8900-aa96ba117824.jpg.296x216.jpg', '骏景花园 4室2厅 630万', '骏景花园  | 4室2厅 | 145平米 | 东北 | 精装 | 有电梯', '低楼层(共13层)2000年建塔楼  -  棠下', '630万', '单价43449元/平米')
('https://image1.ljcdn.com/440100-inspection/f014daf1-ebc6-4ddb-9032-b8976f4c9fa9.jpg.296x216.jpg', '嘉裕公馆 高层  北向大三房双主套 保养好', '嘉裕公馆  | 3室2厅 | 148.5平米 | 北 | 精装 | 有电梯', '高楼层(共33层)塔楼  -  珠江新城中', '1350万', '单价90910元/平米')
('https://image1.ljcdn.com/440100-inspection/a11a8008-ac0b-4927-b664-a6692a80d3d7.jpg.296x216.jpg', '迎翠春庭 1室1厅 125万', '迎翠春庭  | 1室1厅 | 35.63平米 | 北 | 其他 | 无电梯', '中楼层(共9层)2000年建塔楼  -  棠下', '125万', '单价35083元/平米')
('https://image1.ljcdn.com/440100-inspection/test-75f47795-5b82-4b97-8ecb-06b382c7c461.png.296x216.jpg', '龙口西文苑花园 方正三房 安静实用 诚意出售', '文苑花园  | 3室2厅 | 101.46平米 | 东 西 | 精装', '中楼层(共15层)2000年建塔楼  -  天润路', '538万', '单价53026元/平米')
('https://image1.ljcdn.com/440100-inspection/16cedc7d-f12e-4be9-ae26-9ab76830c7e0.JPG.296x216.jpg', '星汇园 东南向三房看小区花园 物业管理好', '星汇园  | 3室2厅 | 119.39平米 | 东南 | 其他 | 有电梯', '中楼层(共32层)2002年建塔楼  -  珠江新城西', '1150万', '单价96323元/平米')
('https://image1.ljcdn.com/440100-inspection/test-5109db6b-06a3-45e6-aa02-af15db8cb91e.png.296x216.jpg', '誉峰 高层双主套 精装修', '誉峰  | 3室2厅 | 207平米 | 东南 | 精装 | 有电梯', '高楼层(共43层)2007年建板楼  -  珠江新城东', '1915万', '单价92513元/平米')
('https://image1.ljcdn.com/440100-inspection/697d1d2c-a732-40ed-9099-60e22786d32b.jpg.296x216.jpg', '侨林苑东向大房 实用舒适单位', '侨林苑二期  | 2室1厅 | 93平米 | 东 | 精装 | 有电梯', '中楼层(共17层)2003年建塔楼  -  天河北', '698万', '单价75054元/平米')
('https://image1.ljcdn.com/440100-inspection/da7d392b-9987-405c-a36d-9f52b21588a9.jpg.296x216.jpg', '中信广场 2室2厅 689万', '中信广场  | 2室2厅 | 124平米 | 南 | 其他 | 有电梯', '低楼层(共38层)2000年建塔楼  -  天河北', '689万', '单价55565元/平米')
('https://image1.ljcdn.com/440100-inspection/3ab7520a-3793-4580-b2c7-34e53b30729f.jpg.296x216.jpg', '御华苑 厅出阳台大两房 格局方正', '御华苑  | 2室2厅 | 91平米 | 东北 | 简装 | 有电梯', '中楼层(共30层)2002年建塔楼  -  龙口西', '458万', '单价50330元/平米')
('https://image1.ljcdn.com/440100-inspection/a1afb39a-ee79-47dd-8210-fb22fd9919ed.jpg.296x216.jpg', '棠德花园 两房一厅 户口无占用', '棠德花园  | 2室1厅 | 64平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  棠下', '190万', '单价29688元/平米')
('https://image1.ljcdn.com/440100-inspection/3976aa9b-4d18-45ff-8430-82e5e76f05b3.jpg.296x216.jpg', '燕都路 鸿燕居 实用大三房', '鸿燕居  | 3室1厅 | 97.24平米 | 南 | 其他 | 有电梯', '高楼层(共11层)1998年建塔楼  -  粤垦', '380万', '单价39079元/平米')
('https://image1.ljcdn.com/440100-inspection/5448ea3b-32a7-4313-b1ac-0186fa9f2030.jpg.296x216.jpg', '嘉逸花园 3室2厅 418万', '嘉逸花园  | 3室2厅 | 93.62平米 | 东 | 其他 | 有电梯', '中楼层(共26层)2005年建塔楼  -  东莞庄', '418万', '单价44649元/平米')
('https://image1.ljcdn.com/440100-inspection/f51b4524-c8e6-4dea-abe4-44d35a473027.jpg.296x216.jpg', '乐意居花园 精装两房 格局方正', '乐意居花园  | 2室1厅 | 67.5平米 | 北 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  长兴', '248万', '单价36741元/平米')
('https://image1.ljcdn.com/440100-inspection/18dd6f59-dc85-4eb4-b076-2260b2da21b1.jpg.296x216.jpg', '电梯一房 西南向望小区 安静位置', '橡树园  | 1室1厅 | 54.85平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2004年建塔楼  -  沙太南', '221万', '单价40292元/平米')
('https://image1.ljcdn.com/440100-inspection/31139ed9-bd09-4e74-8bad-3d66ecce6d2c.jpg.296x216.jpg', '天河东路体委宿舍 温馨两房 格局方正', '天河东路  | 2室2厅 | 75平米 | 东北 | 其他 | 无电梯', '低楼层(共9层)1999年建塔楼  -  龙口西', '390万', '单价52000元/平米')
('https://image1.ljcdn.com/440100-inspection/498a4644-3f3a-4b1d-af97-aca001c76e0e.jpg.296x216.jpg', '东方都会广场 高层南向 景观视野开阔', '东方都会广场  | 1室2厅 | 42.44平米 | 南 | 其他 | 有电梯', '高楼层(共22层)2004年建塔楼  -  天河公园', '370万', '单价87182元/平米')
('https://image1.ljcdn.com/440100-inspection/288e12e4-04e1-4707-a3f4-33d03579f47d.jpg.296x216.jpg', '燕都路 鸿燕居 精装2房', '鸿燕居  | 2室2厅 | 78平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1998年建塔楼  -  粤垦', '300万', '单价38462元/平米')
('https://image1.ljcdn.com/440100-inspection/af325e57-17c8-48b0-b645-cd9629323dfa.jpg.296x216.jpg', '广园东路 濂泉路42号大院 安静舒适 无遮挡', '濂泉路42号大院  | 3室2厅 | 87.06平米 | 东南 | 简装', '高楼层(共8层)塔楼  -  沙河', '275万', '单价31588元/平米')
('https://image1.ljcdn.com/440100-inspection/e584b158-a1f9-47c7-82de-ebe000b7d8c4.jpg.296x216.jpg', '阳光假日园 3室2厅 505万', '阳光假日园  | 3室2厅 | 91.87平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  棠下', '505万', '单价54969元/平米')
('https://image1.ljcdn.com/440100-inspection/246e161a-b4f1-4cde-a016-a17720f03be2.jpg.296x216.jpg', '百合苑正规一房 舒适楼层 自住保养 安静朝花园', '百合苑B区  | 1室1厅 | 48.43平米 | 东 | 精装 | 无电梯', '低楼层(共9层)1996年建塔楼  -  员村', '198万', '单价40884元/平米')
('https://image1.ljcdn.com/440100-inspection/20865572-fa95-4c37-aa9d-a5299177b382.jpg.296x216.jpg', '龙口花苑龙盛街 2室1厅 500万', '龙口花苑龙盛街  | 2室1厅 | 85.71平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)2002年建塔楼  -  龙口西', '500万', '单价58337元/平米')
('https://image1.ljcdn.com/440100-inspection/d61b8549-a631-4662-8153-3533ddb84c00.jpg.296x216.jpg', '林和东公安宿舍 2室1厅 473万', '林和东公安宿舍  | 2室1厅 | 68平米 | 东 西南 | 其他 | 无电梯', '中楼层(共9层)1997年建塔楼  -  天河北', '473万', '单价69559元/平米')
('https://image1.ljcdn.com/440100-inspection/95307a48-839d-4943-b270-f7981e2401d4.jpg.296x216.jpg', '城市假日园 南向三房 装修保养好 通风采光好', '城市假日园  | 3室2厅 | 86.5平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2004年建塔楼  -  东圃', '445万', '单价51446元/平米')
('https://image1.ljcdn.com/440100-inspection/ba4baa7a-2e54-4acf-bc6b-466456ca5acd.jpg.296x216.jpg', '华师大宿舍北区 安静两房 南北对流 精装保养好', '华师大学宿舍北区  | 2室1厅 | 62.63平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2000年建板楼  -  五山', '410万', '单价65464元/平米')
('https://image1.ljcdn.com/440100-inspection/a31ae5d5-e272-45cc-8568-05ae49fed502.jpg.296x216.jpg', '侨辉 体育东电梯两房 户型方正业主住家装修保养好', '侨辉大厦  | 2室1厅 | 62平米 | 北 | 简装', '低楼层(共18层)1997年建塔楼  -  天河南', '325万', '单价52420元/平米')
('https://image1.ljcdn.com/440100-inspection/5e94807e-31d6-44c0-b772-74ff46135152.jpg.296x216.jpg', '穗乐花园 两房 户型方正 交通方便', '穗乐花园  | 2室1厅 | 73.15平米 | 东北 | 简装 | 无电梯', '高楼层(共8层)1990年建塔楼  -  员村', '320万', '单价43746元/平米')
('https://image1.ljcdn.com/440100-inspection/aa8f1c9d-d4ad-4fe8-90ef-65eebe81da97.jpg.296x216.jpg', '金碧翡翠华庭 2室1厅 560万', '金碧翡翠华庭  | 2室1厅 | 79.34平米 | 西北 | 精装 | 有电梯', '高楼层(共31层)2007年建塔楼  -  天润路', '560万', '单价70583元/平米')
('https://image1.ljcdn.com/440100-inspection/75a4621b-1943-48c2-8c54-3c6c7f56b55f.jpg.296x216.jpg', '希尔顿阳光 ，北向，精致装修，电梯房', '龙口花苑希尔顿阳光  | 4室2厅 | 145平米 | 北 | 其他 | 有电梯', '高楼层(共27层)2002年建塔楼  -  龙口西', '1000万', '单价68966元/平米')
('https://image1.ljcdn.com/440100-inspection/4e1dde08-2afb-4e9f-b71b-477d16da4903.jpg.296x216.jpg', '骏景花园四房 干净整洁 温馨', '骏景花园  | 4室2厅 | 141平米 | 南 | 简装 | 有电梯', '低楼层(共20层)2003年建板楼  -  棠下', '709万', '单价50284元/平米')
('https://image1.ljcdn.com/440100-inspection/f14a61dc-a594-47cd-b404-3e09507349b3.jpg.296x216.jpg', '汇景新城 跃式四房 南北对流 花园中部', '汇景新城维纶特莱  | 4室2厅 | 225.71平米 | 南 北 | 精装 | 有电梯', '低楼层(共9层)2005年建塔楼  -  汇景新城', '1300万', '单价57597元/平米')
('https://image1.ljcdn.com/440100-inspection/7f52aae8-b304-4b89-874c-aa027d936e4f.jpg.296x216.jpg', '瑞安创逸 精致大三房 厅出阳台', '瑞安·创逸  | 3室2厅 | 151平米 | 南 北 | 精装 | 有电梯', '低楼层(共35层)2009年建塔楼  -  龙口东', '1150万', '单价76159元/平米')
('https://image1.ljcdn.com/440100-inspection/58b9b842-5004-4873-89ff-bda33928ab7e.jpg.296x216.jpg', '隽峰苑  舒适四居室 东向望珠江公园 采光足 通风透气', '隽峰苑  | 4室2厅 | 237平米 | 东 | 精装 | 有电梯', '中楼层(共32层)2008年建塔楼  -  珠江新城中', '2014.5万', '单价85000元/平米')
('https://image1.ljcdn.com/440100-inspection/ac34a760-cf3d-41a1-b5b0-40a7d5a50baa.jpg.296x216.jpg', '天誉花园 南向三房 住家装修花园小区天誉', '天誉花园  | 3室2厅 | 166平米 | 南 | 简装 | 有电梯', '中楼层(共30层)2000年建塔楼  -  天河北', '990万', '单价59639元/平米')
('https://image1.ljcdn.com/440100-inspection/2a8084b8-579d-41e7-b5fd-bb82dd2c437c.jpg.296x216.jpg', '北苑3期 高楼层带花园 双层复式', '骏景花园  | 4室2厅 | 104.25平米 | 北 | 简装 | 有电梯', '高楼层(共13层)1997年建板楼  -  棠下', '550万', '单价52758元/平米')
('https://image1.ljcdn.com/440100-inspection/94ecd0d1-25c0-49df-9317-bb85d4ce4f3e.jpg.296x216.jpg', '骏景北向单位 居家舒适 安静望花园', '骏景花园  | 4室2厅 | 145平米 | 北 | 简装 | 有电梯', '中楼层(共13层)2003年建塔楼  -  棠下', '720万', '单价49656元/平米')
('https://image1.ljcdn.com/440100-inspection/32c2c48c-37ae-47a9-9603-44a930bcae49.jpg.296x216.jpg', '理想蓝堡 东南向三房 高层视野开阔', '理想蓝堡国际花园  | 3室2厅 | 111.16平米 | 东南 | 简装 | 有电梯', '高楼层(共29层)2004年建塔楼  -  天河公园', '808万', '单价72689元/平米')
('https://image1.ljcdn.com/440100-inspection/f94983c4-6add-4d4b-a3b3-91cb7ea953d8.jpg.296x216.jpg', '天河山庄 白云山脚下 格局方正', '天河山庄云山居  | 3室2厅 | 100平米 | 东 西 | 其他 | 无电梯', '中楼层(共5层)1996年建板楼  -  沙河', '365万', '单价36500元/平米')
('https://image1.ljcdn.com/440100-inspection/3042bb18-07e4-4337-b7f6-2c377bc40efc.jpg.296x216.jpg', '中海观园国际 南北对流 一线公园景观', '中海观园国际南塔  | 4室2厅 | 247.3平米 | 南 北 | 简装 | 有电梯', '低楼层(共43层)2007年建板楼  -  珠江新城东', '2473万', '单价100000元/平米')
('https://image1.ljcdn.com/440100-inspection/582639cc-a09a-4417-9ebb-bfb2a783e645.jpg.296x216.jpg', '天誉花园 采光好 带装修 户型方正', '天誉花园  | 2室2厅 | 109平米 | 南 | 精装 | 有电梯', '高楼层(共31层)1998年建塔楼  -  天河北', '650万', '单价59634元/平米')
('https://image1.ljcdn.com/440100-inspection/52b53023-622d-4381-98d8-bbf8eccd4e1e.jpg.296x216.jpg', '枫丹雅筑 精装三房 舒适居家 带阳台', '枫丹雅筑  | 3室2厅 | 95平米 | 西北 | 其他 | 有电梯', '高楼层(共31层)2004年建塔楼  -  龙口西', '640万', '单价67369元/平米')
('https://image1.ljcdn.com/440100-inspection/c6a9930d-afb4-4eb3-b3ba-bdd690c36666.jpg.296x216.jpg', '广利路 南北向 采光好 户型方正', '广利路  | 1室2厅 | 89.57平米 | 南 北 | 精装', '高楼层(共9层)塔楼  -  天河南', '400万', '单价44658元/平米')
('https://image1.ljcdn.com/440100-inspection/e5576c38-16d0-4d02-a17e-a3ad3c997211.jpg.296x216.jpg', '金富苑 厅出阳台三房 方正实用 带主套', '金富苑  | 3室2厅 | 95.4平米 | 南 北 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  天润路', '520万', '单价54508元/平米')
('https://image1.ljcdn.com/440100-inspection/41ef3e9f-45ba-4a69-bc00-08ba117b456c.jpg.296x216.jpg', '芳草园 东北向两房 户型方正', '芳草园  | 2室2厅 | 86平米 | 西北 | 简装 | 有电梯', '高楼层(共30层)2004年建塔楼  -  天润路', '600万', '单价69768元/平米')
('https://image1.ljcdn.com/440100-inspection/8c18745e-1868-4e9c-ac71-7a3ac5cf4dc4.jpg.296x216.jpg', '金润大厦 两房两厅 两阳台 视野采光好', '金润大厦  | 2室2厅 | 77.57平米 | 西 | 简装 | 有电梯', '高楼层(共31层)2005年建塔楼  -  天润路', '490万', '单价63169元/平米')
('https://image1.ljcdn.com/440100-inspection/5da6adf2-14e0-4c6d-bffe-9112f797aba5.jpg.296x216.jpg', '叠翠台 公园小区 温馨住房 看花园', '叠翠台  | 2室2厅 | 84平米 | 西南 | 简装 | 有电梯', '中楼层(共22层)2004年建塔楼  -  天河公园', '530万', '单价63096元/平米')
('https://image1.ljcdn.com/440100-inspection/a8540370-fa70-4345-9ed3-a24593e69d8b.jpg.296x216.jpg', '翠湖山庄 精致3房 交通便利', '翠湖山庄  | 3室1厅 | 112平米 | 西北 | 简装 | 有电梯', '中楼层(共15层)1999年建塔楼  -  天河公园', '480万', '单价42858元/平米')
('https://image1.ljcdn.com/440100-inspection/cbc6ee5c-71f2-4fdf-995a-e97a3081b554.jpg.296x216.jpg', '芳草园 东北向两房 户型方正 景观', '芳草园  | 2室2厅 | 86.02平米 | 东北 | 简装 | 有电梯', '中楼层(共30层)2004年建塔楼  -  天润路', '590万', '单价68589元/平米')
('https://image1.ljcdn.com/440100-inspection/c76a245f-ce48-4a61-ac66-6757a10de07f.jpg.296x216.jpg', '天誉花园 两房一厅 户型方正', '天誉花园  | 2室1厅 | 78平米 | 西 | 简装 | 有电梯', '中楼层(共30层)2000年建塔楼  -  天河北', '505万', '单价64744元/平米')
('https://image1.ljcdn.com/440100-inspection/f556d918-9b54-498c-a340-7ef2bb4e384d.jpg.296x216.jpg', '祥龙花园 东北向 两房两厅', '祥龙花园  | 2室2厅 | 98.57平米 | 东南 | 简装 | 有电梯', '中楼层(共30层)1997年建塔楼  -  天河北', '490万', '单价49711元/平米')
('https://image1.ljcdn.com/440100-inspection/f4afd0c7-9862-4d15-93bb-ffda713d33c0.jpg.296x216.jpg', '物资局大院 电梯三房', '物资局大院  | 3室2厅 | 93.82平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)1996年建塔楼  -  沙河', '400万', '单价42635元/平米')
('https://image1.ljcdn.com/440100-inspection/e88358ca-8a7b-4996-a71d-1fc29362a447.jpg.296x216.jpg', '富力天朗明居 实用两房 厅直出阳台', '富力天朗明居S区  | 2室1厅 | 70平米 | 北 | 简装 | 有电梯', '中楼层(共18层)2001年建塔楼  -  棠下', '325万', '单价46429元/平米')
('https://image1.ljcdn.com/440100-inspection/e60cf055-682e-4621-8c39-5104af02512f.jpg.296x216.jpg', '龙苑大厦 实用 户型方正 近岗顶地铁', '龙苑大厦  | 3室2厅 | 72.27平米 | 南 | 精装 | 有电梯', '低楼层(共23层)1992年建塔楼  -  龙口西', '360万', '单价49814元/平米')
('https://image1.ljcdn.com/440100-inspection/b2f5ede8-7365-4ecc-9d23-0857426bd543.jpg.296x216.jpg', '朝晖苑 温馨二房 精装修 装修保养好', '朝晖苑  | 2室2厅 | 79.12平米 | 西南 | 简装 | 有电梯', '低楼层(共28层)1997年建塔楼  -  天河北', '500万', '单价63196元/平米')
('https://image1.ljcdn.com/440100-inspection/178af855-0fd4-4555-9e33-d561263fc308.jpg.296x216.jpg', '乐雅苑 两房一厅 户型方正', '乐雅苑  | 2室1厅 | 67.91平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)2006年建塔楼  -  员村', '298万', '单价43882元/平米')
('https://image1.ljcdn.com/440100-inspection/0e5f4668-9129-4da9-a00a-f84776137c3b.jpg.296x216.jpg', '光华大厦 实用两房 交通方便 高层明亮', '光华大厦  | 2室2厅 | 83.1平米 | 东北 | 简装 | 有电梯', '高楼层(共21层)2000年建塔楼  -  体育中心', '423万', '单价50903元/平米')
('https://image1.ljcdn.com/440100-inspection/c06ac218-38d4-49d0-ba9a-b934d752aaf0.jpg.296x216.jpg', '中铁盛德 一手毛坯房 交通方便', '中铁盛德国际  | 2室2厅 | 84.3平米 | 西北 | 毛坯 | 有电梯', '中楼层(共37层)2013年建塔楼  -  石牌', '438万', '单价51958元/平米')
('https://image1.ljcdn.com/440100-inspection/40cf2e8f-ea0c-4845-850f-4696ce13e0d1.jpg.296x216.jpg', '富力新村 实用大三房 南向', '富力新村  | 3室2厅 | 85.07平米 | 南 | 其他 | 无电梯', '低楼层(共9层)1994年建塔楼  -  东圃', '280万', '单价32915元/平米')
('https://image1.ljcdn.com/440100-inspection/133e4ddd-a1ba-4f4e-982d-07d5136b0faf.jpg.296x216.jpg', '广梅汕宿舍 电梯房 3房简装', '广梅汕宿舍  | 3室2厅 | 94平米 | 南 | 简装 | 有电梯', '中楼层(共12层)1997年建塔楼  -  龙口西', '500万', '单价53192元/平米')
('https://image1.ljcdn.com/440100-inspection/786125a1-1084-4aa5-885b-7a52c70cb903.jpg.296x216.jpg', '天逸名都 精装1房 交通方便', '天逸名都  | 1室1厅 | 46平米 | 北 | 简装 | 有电梯', '高楼层(共31层)2002年建塔楼  -  龙口西', '330万', '单价71740元/平米')
('https://image1.ljcdn.com/440100-inspection/dc79ee4e-ab4c-41d8-9997-d52cf817972e.jpg.296x216.jpg', '迎翠春庭 精装三房 格局方正 采光好', '迎翠春庭  | 3室1厅 | 90平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共9层)2000年建塔楼  -  棠下', '270万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/39c28686-27bb-4c31-8fee-a33223e291d0.jpg.296x216.jpg', '天誉花园 望花园三房 户型方正 居住舒适', '天誉花园  | 3室2厅 | 143平米 | 北 | 简装 | 有电梯', '中楼层(共31层)1998年建塔楼  -  天河北', '800万', '单价55945元/平米')
('https://image1.ljcdn.com/440100-inspection/c7958efe-fde3-451f-a5c7-b71c4e4cda79.jpg.296x216.jpg', '东圃大马路雅怡阁 两房 安静舒适', '雅怡阁  | 2室2厅 | 89.72平米 | 北 | 简装 | 有电梯', '低楼层(共23层)2000年建塔楼  -  东圃', '260万', '单价28980元/平米')
('https://image1.ljcdn.com/440100-inspection/4c6db649-d7b5-4054-b743-3c000920c968.jpg.296x216.jpg', '中怡城市花园 正宗一房一厅 采光好', '中怡城市花园  | 1室1厅 | 54.39平米 | 西北 | 简装 | 有电梯', '中楼层(共30层)2002年建塔楼  -  天河北', '375万', '单价68947元/平米')
('https://image1.ljcdn.com/440100-inspection/16e5ac89-2846-4387-8500-bfcbd3630411.jpg.296x216.jpg', '西雅苑 三房改两房 南向', '西雅苑  | 3室2厅 | 109.55平米 | 南 | 简装 | 有电梯', '高楼层(共28层)1998年建塔楼  -  体育中心', '715万', '单价65268元/平米')
