('https://image1.ljcdn.com/440100-inspection/36abca9a-dbc8-4db3-8b5c-20f0a1dc5886.jpg.296x216.jpg', '嘉鸿花园金玫瑰园 2室1厅 288万', '嘉鸿花园金玫瑰园  | 2室1厅 | 69.35平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)1999年建塔楼  -  金碧', '288万', '单价41529元/平米')
('https://image1.ljcdn.com/440100-inspection/7c19f4e0-6d83-42fb-b10e-9e28460722d3.jpg.296x216.jpg', '五一新村二街北 3室2厅 430万', '五一新村二街北  | 3室2厅 | 93.55平米 | 东北 | 精装 | 有电梯', '高楼层(共15层)1999年建塔楼  -  工业大道北', '430万', '单价45965元/平米')
('https://image1.ljcdn.com/440100-inspection/8bb3a48b-8baa-4315-86fe-01c8be497f5a.jpg.296x216.jpg', '正规大2房 户型好 交通方便 装修保养较好', '翠怡小区翠怡二街  | 2室1厅 | 49平米 | 东 | 其他 | 无电梯', '高楼层(共9层)1994年建塔楼  -  江燕路', '155万', '单价31633元/平米')
('https://image1.ljcdn.com/440100-inspection/16206c29-1fb0-4eec-9cb9-24e03280d3eb.jpg.296x216.jpg', '富力尚溢居 东南向3房 实用舒适单位', '富力尚溢居  | 3室2厅 | 85.49平米 | 东南 | 简装 | 有电梯', '低楼层(共34层)2005年建塔楼  -  滨江东', '510万', '单价59657元/平米')
('https://image1.ljcdn.com/440100-inspection/test-c05a4e54-736c-46fa-84a5-c9042a49d2cd.png.296x216.jpg', '间隔方正 采光通风好', '光大花园榕景四季  | 1室1厅 | 46.2平米 | 北 | 精装 | 有电梯', '中楼层(共22层)2004年建塔楼  -  工业大道北', '270万', '单价58442元/平米')
('https://image1.ljcdn.com/440100-inspection/53d29711-bcc4-4649-9e52-4e8452a426bd.jpg.296x216.jpg', '温馨靓两房 交通便利', '珠光高派华庭  | 1室0厅 | 36.31平米 | 北 | 精装 | 有电梯', '高楼层(共31层)2006年建塔楼  -  滨江东', '195万', '单价53705元/平米')
('https://image1.ljcdn.com/440100-inspection/3f5c7b06-22cb-4758-9521-864eed889c53.jpg.296x216.jpg', '蓝色康园 舒适 新装修 格局方正', '蓝色康园  | 2室1厅 | 53.74平米 | 东北 | 精装 | 有电梯', '低楼层(共19层)2005年建塔楼  -  滨江东', '300万', '单价55825元/平米')
('https://image1.ljcdn.com/440100-inspection/fd40b314-4e66-452d-a38c-0f118ea1fe8e.jpg.296x216.jpg', '保利花园 *复式单位 带天台花园', '保利花园  | 5室2厅 | 154平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2000年建塔楼  -  工业大道中', '580.3万', '单价37682元/平米')
('https://image1.ljcdn.com/440100-inspection/adc90ea7-8c98-4877-bfd5-d77c2b6c9a18.JPG.296x216.jpg', '光大花园榕景四季 3室2厅 530万', '光大花园榕景四季  | 3室2厅 | 98.83平米 | 东南 | 精装 | 有电梯', '低楼层(共16层)2004年建塔楼  -  工业大道北', '530万', '单价53628元/平米')
('https://image1.ljcdn.com/440100-inspection/13739ff5-1bec-4d8e-81ab-749a3e5f4720.jpg.296x216.jpg', '江南花园 5室2厅 800万', '江南花园  | 5室2厅 | 158平米 | 东南 | 简装 | 有电梯', '高楼层(共30层)2009年建塔楼  -  宝岗', '800万', '单价50633元/平米')
('https://image1.ljcdn.com/440100-inspection/3abe5567-df1b-4e08-9a61-9a062a6b1158.jpg.296x216.jpg', '星品 3室2厅 770万', '星品  | 3室2厅 | 112平米 | 南 | 精装 | 有电梯', '高楼层(共13层)2011年建塔楼  -  琶洲', '770万', '单价68750元/平米')
('https://image1.ljcdn.com/440100-inspection/a56bc612-e6ed-40d1-9ba7-809ae90644c9.jpg.296x216.jpg', '逸景翠园 4室1厅 830万', '逸景翠园  | 4室1厅 | 165.58平米 | 南 | 简装 | 有电梯', '中楼层(共17层)2002年建塔楼  -  广州大道南', '830万', '单价50127元/平米')
('https://image1.ljcdn.com/440100-inspection/75d30abb-5a7a-4d2b-a16c-34ab2c5cb31c.jpg.296x216.jpg', '中海橡园国际 南向三房 近地铁 配置成熟', '中海橡园国际  | 3室2厅 | 98平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2011年建塔楼  -  工业大道北', '580万', '单价59184元/平米')
('https://image1.ljcdn.com/440100-inspection/fbd43097-6e23-436c-9d24-85ad37a30324.JPG.296x216.jpg', '滨江中路 实用一房一厅 单边位 厅出阳台南向采光好', '滨江中路  | 1室1厅 | 35.15平米 | 南 | 简装', '中楼层(共8层)塔楼  -  滨江中', '140万', '单价39830元/平米')
('https://image1.ljcdn.com/440100-inspection/4d43b69c-82c2-44bd-a09f-960d9ec90b7e.JPG.296x216.jpg', '江南翠菊园 1室1厅 175万', '江南翠菊园  | 1室1厅 | 40.59平米 | 东 | 其他 | 有电梯', '中楼层(共13层)2003年建塔楼  -  江南大道', '175万', '单价43115元/平米')
('https://image1.ljcdn.com/440100-inspection/0feb00c0-f2ad-4d80-8280-276fd0e99af5.jpg.296x216.jpg', '交通便利 配套完善 户型方正 适宜居住', '紫丹阁  | 2室2厅 | 81.18平米 | 东 | 其他 | 有电梯', '低楼层(共23层)1998年建塔楼  -  江南大道', '380万', '单价46810元/平米')
('https://image1.ljcdn.com/440100-inspection/617db53f-a8ff-4a36-9359-3e30f31d202f.JPG.296x216.jpg', '工业大道北 2室1厅 115万', '工业大道北  | 2室1厅 | 42.17平米 | 南 | 简装 | 无电梯', '中楼层(共8层)塔楼  -  工业大道北', '115万', '单价27271元/平米')
('https://image1.ljcdn.com/440100-inspection/4212feaa-25df-4ad2-b7d8-ae20ec1d4563.JPG.296x216.jpg', '南景园 2室1厅 300万', '南景园  | 2室1厅 | 65.17平米 | 西南 | 精装 | 有电梯', '高楼层(共18层)2001年建塔楼  -  江燕路', '300万', '单价46034元/平米')
('https://image1.ljcdn.com/440100-inspection/f0210d2e-9b14-4201-aa33-9141610c65ae.jpg.296x216.jpg', '鹭江地铁口，低楼层，2房改1房，精装修', '新港西路  | 2室1厅 | 64.23平米 | 北 | 精装 | 无电梯', '中楼层(共8层)塔楼  -  新港西', '230万', '单价35809元/平米')
('https://image1.ljcdn.com/440100-inspection/fac0a475-7a82-4b9e-a9b6-37de17b234ac.jpg.296x216.jpg', '天汇   大厦    实用      两房一厅', '天汇大厦  | 2室1厅 | 73平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1999年建塔楼  -  前进路', '265万', '单价36302元/平米')
('https://image1.ljcdn.com/440100-inspection/06c0a44b-550f-42a5-aa96-699b6230e367.JPG.296x216.jpg', '芭堤水岸 2室2厅 438万', '芭堤水岸  | 2室2厅 | 68.43平米 | 东北 | 精装 | 有电梯', '高楼层(共33层)2006年建塔楼  -  滨江东', '438万', '单价64008元/平米')
('https://image1.ljcdn.com/440100-inspection/ad5d087d-55c7-4505-9933-d62fdeeaecab.jpg.296x216.jpg', '第三金碧花园 爵府天下 安静望花园两房', '金碧花园第三金碧  | 2室2厅 | 72.17平米 | 西南 西 | 精装 | 有电梯', '中楼层(共32层)2000年建塔楼  -  金碧', '345万', '单价47804元/平米')
('https://image1.ljcdn.com/440100-inspection/ec58d95e-7fa1-4e7f-9041-018ee998884d.jpg.296x216.jpg', '愉景雅苑 ，复式2层 ，南向看花园 ，带平台花园', '愉景雅苑  | 5室2厅 | 124.9平米 | 南 | 精装 | 有电梯', '高楼层(共13层)2000年建塔楼  -  新港西', '760万', '单价60849元/平米')
('https://image1.ljcdn.com/440100-inspection/26f0bf67-33c9-49fc-8e8d-fc76349f371c.JPG.296x216.jpg', '双子星城 1室1厅 160万', '双子星城  | 1室1厅 | 34.14平米 | 南 | 简装 | 有电梯', '低楼层(共15层)2005年建塔楼  -  新港西', '160万', '单价46866元/平米')
('https://image1.ljcdn.com/440100-inspection/2b76e152-a4a1-45c5-b3a8-78454af338eb.JPG.296x216.jpg', '海天花苑温馨两房出售居家选择。', '海天花苑  | 2室1厅 | 79.83平米 | 北 | 简装 | 有电梯', '中楼层(共35层)2004年建塔楼  -  滨江东', '310万', '单价38833元/平米')
('https://image1.ljcdn.com/440100-inspection/94a6197b-a017-4683-9c31-5f3fce61654c.JPG.296x216.jpg', '康怡花苑 2室1厅 195万', '康怡花苑  | 2室1厅 | 59.77平米 | 西南 | 简装 | 无电梯', '低楼层(共9层)1994年建塔楼  -  新港西', '195万', '单价32626元/平米')
('https://image1.ljcdn.com/440100-inspection/test-db1db087-d640-4908-9817-8f563279dfa2.png.296x216.jpg', '素社新村 电梯南向大两房 新装修', '素社新村  | 2室1厅 | 65.41平米 | 南 | 精装 | 无电梯', '高楼层(共8层)1987年建塔楼  -  前进路', '275万', '单价42043元/平米')
('https://image1.ljcdn.com/440100-inspection/98c897cd-1269-4da1-837c-4a1308b3806c.JPG.296x216.jpg', '愉景南苑 实用电梯三房 高楼层望花游泳池', '愉景南苑  | 3室2厅 | 98.93平米 | 北 | 精装 | 有电梯', '中楼层(共19层)2002年建塔楼  -  新港西', '530万', '单价53574元/平米')
('https://image1.ljcdn.com/440100-inspection/49a237f6-7bf2-44c7-8e76-bac10c73c3e1.jpg.296x216.jpg', '玫瑰园 3室2厅 780万', '玫瑰园  | 3室2厅 | 130.64平米 | 东 | 其他 | 有电梯', '中楼层(共19层)2000年建塔楼  -  江南西', '780万', '单价59707元/平米')
('https://image1.ljcdn.com/440100-inspection/e87ba28d-c9c8-46af-b392-d32e7f0c1e73.jpg.296x216.jpg', '富力精装三房 装修新采光好望花园', '富力现代广场  | 3室2厅 | 115.04平米 | 东南 | 精装 | 有电梯', '高楼层(共25层)2005年建塔楼  -  工业大道北', '632.5万', '单价54981元/平米')
('https://image1.ljcdn.com/440100-inspection/c5eb500d-e488-4ee2-b5e8-6ce9e2d35c48.jpg.296x216.jpg', '户型方正 交通便利 带阳台夕阳景', '珠江新岸公寓  | 1室0厅 | 44平米 | 西 | 精装 | 有电梯', '低楼层(共32层)2009年建塔楼  -  滨江东', '220万', '单价50000元/平米')
('https://image1.ljcdn.com/440100-inspection/400e668c-4752-4c9f-a3c9-10a9669d52e0.jpg.296x216.jpg', '侨诚花园秋月苑 1室1厅 145万', '侨诚花园秋月苑  | 1室1厅 | 38.08平米 | 西南 | 精装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  金碧', '145万', '单价38078元/平米')
('https://image1.ljcdn.com/440100-inspection/6b09b955-adc0-46d6-b8d9-3ed08dd5c93d.JPG.296x216.jpg', '中海锦榕湾 精致四房 西南向 不超144方', '光大花园中海锦榕湾  | 4室2厅 | 140.9平米 | 南 | 简装 | 有电梯', '高楼层(共32层)2010年建塔楼  -  工业大道北', '990万', '单价70263元/平米')
('https://image1.ljcdn.com/440100-inspection/test-2d0d4f41-1b4d-4f73-aed3-8de2c401f736.png.296x216.jpg', '玫瑰园 3室2厅 585万', '玫瑰园  | 3室2厅 | 111.2平米 | 东南 | 精装 | 有电梯', '中楼层(共19层)2007年建板塔结合  -  江南西', '585万', '单价52608元/平米')
('https://image1.ljcdn.com/440100-inspection/c320d84d-e07a-43e5-a0a0-f559d7965353.jpg.296x216.jpg', '锦俊华庭 实用舒适单位 配套', '锦骏华庭  | 1室1厅 | 36平米 | 西 | 简装 | 有电梯', '低楼层(共28层)2001年建塔楼  -  滨江东', '193万', '单价53612元/平米')
('https://image1.ljcdn.com/440100-inspection/69007aa6-02fc-41b4-b762-7c64462ec7c4.jpg.296x216.jpg', '金碧花园 格局方正 采光通风好', '金碧花园第一金碧  | 2室2厅 | 70平米 | 西北 | 简装 | 有电梯', '中楼层(共22层)2000年建塔楼  -  金碧', '275万', '单价39286元/平米')
('https://image1.ljcdn.com/440100-inspection/481fb473-86d5-49ab-8946-16a4f1fa11f6.jpg.296x216.jpg', '赤岗苑 1室1厅 130万', '赤岗苑  | 1室1厅 | 36.36平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1997年建塔楼  -  赤岗', '130万', '单价35754元/平米')
('https://image1.ljcdn.com/440100-inspection/102d902a-edbc-41ee-afb3-0facc806229e.jpg.296x216.jpg', '金碧花园第一金碧 2室2厅 310万', '金碧花园第一金碧  | 2室2厅 | 71.45平米 | 东 | 精装 | 有电梯', '低楼层(共22层)2000年建塔楼  -  金碧', '310万', '单价43387元/平米')
('https://image1.ljcdn.com/440100-inspection/8824b5ca-e284-40ba-b4a3-06d4f0b1659a.jpg.296x216.jpg', '逸景翠园 3室2厅 450万', '逸景翠园  | 3室2厅 | 98.35平米 | 北 | 简装 | 有电梯', '中楼层(共13层)2002年建塔楼  -  广州大道南', '450万', '单价45755元/平米')
('https://image1.ljcdn.com/440100-inspection/42d4de0f-9a39-4795-986f-0b7f170596c6.JPG.296x216.jpg', '祈乐苑 2室1厅 235万', '祈乐苑  | 2室1厅 | 53.47平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)1999年建塔楼  -  新港西', '235万', '单价43950元/平米')
('https://image1.ljcdn.com/440100-inspection/5eb52a46-770f-4af0-995b-a1211341737c.JPG.296x216.jpg', '凤凰新村二街 2室1厅 210万', '凤凰新村二街  | 2室1厅 | 66.59平米 | 西 | 简装 | 无电梯', '中楼层(共7层)2000年建塔楼  -  工业大道北', '210万', '单价31537元/平米')
('https://image1.ljcdn.com/440100-inspection/3eb1d8ab-680a-405e-b0bc-ac86fb3db754.JPG.296x216.jpg', '丽景湾  高层东南向 望江单位  通风采光好 双阳台', '丽景湾  | 2室1厅 | 82.24平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2002年建塔楼  -  滨江东', '499万', '单价60677元/平米')
('https://image1.ljcdn.com/440100-inspection/a7d021a2-d58e-4108-90fc-bad008739c51.jpg.296x216.jpg', '鸿益华府 东南向温馨三房 户型方正实用 装修保养新净', '鸿益华府  | 3室2厅 | 98平米 | 东南 | 精装 | 有电梯', '中楼层(共26层)2012年建塔楼  -  工业大道南', '480万', '单价48980元/平米')
('https://image1.ljcdn.com/440100-inspection/5753f15e-356e-4fb0-a26c-90add7faa34a.JPG.296x216.jpg', '中海名都 温馨三房 户型方正', '中海名都  | 3室1厅 | 107.6平米 | 东北 | 简装 | 有电梯', '低楼层(共36层)塔楼  -  滨江中', '643万', '单价59759元/平米')
('https://image1.ljcdn.com/440100-inspection/d323d1e3-2d68-486e-b8ba-48c2f7ace670.JPG.296x216.jpg', '业主诚意出售', '晓港雅筑  | 4室1厅 | 69.89平米 | 西南 | 简装 | 有电梯', '中楼层(共25层)2006年建塔楼  -  昌岗', '390万', '单价55802元/平米')
('https://image1.ljcdn.com/440100-inspection/b3fc9d5a-f40f-44f6-9575-2c0c3414df29.jpg.296x216.jpg', '紫金楼 2室1厅 173万', '紫金楼  | 2室1厅 | 46.37平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  江南大道', '173万', '单价37309元/平米')
('https://image1.ljcdn.com/440100-inspection/aefd6f31-f97a-451d-99a0-363bc8752b8c.jpg.296x216.jpg', '洪德路鹤洲直街 3室1厅 218万', '洪德路鹤洲直街  | 3室1厅 | 53.01平米 | 南 | 精装', '低楼层(共7层)塔楼  -  宝岗', '218万', '单价41125元/平米')
('https://image1.ljcdn.com/440100-inspection/36ed2fe4-0004-484d-8a43-30f87174fcba.JPG.296x216.jpg', '江南大道中江南大道中后街 1室0厅 88万', '江南大道中江南大道中后街  | 1室0厅 | 29.57平米 | 东 | 其他 | 无电梯', '中楼层(共8层)塔楼  -  江南大道', '88万', '单价29760元/平米')
('https://image1.ljcdn.com/440100-inspection/faad13a8-be4b-4209-8595-e09f8188e097.JPG.296x216.jpg', '富景花园 三房两卫出售', '富景花园  | 3室1厅 | 113平米 | 北 | 精装 | 有电梯', '中楼层(共32层)2003年建塔楼  -  新港西', '450万', '单价39824元/平米')
('https://image1.ljcdn.com/440100-inspection/f5c9f0ee-3b5b-4494-a2ff-0f43b5c74212.JPG.296x216.jpg', '蓝色康园 南向望中大 花园小区', '蓝色康园  | 3室1厅 | 106.52平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2006年建塔楼  -  滨江东', '700万', '单价65716元/平米')
('https://image1.ljcdn.com/440100-inspection/8f34f822-1088-487b-b51e-53f723365df5.jpg.296x216.jpg', '聚德花园 2室1厅 337万', '聚德花园  | 2室1厅 | 84.07平米 | 北 | 其他 | 有电梯', '中楼层(共11层)1997年建塔楼  -  赤岗', '337万', '单价40086元/平米')
('https://image1.ljcdn.com/440100-inspection/a6fb45a1-dc44-488f-b0a8-b740af6ba063.jpg.296x216.jpg', '江南嘉居 1室1厅 135万', '江南嘉居  | 1室1厅 | 39.28平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1995年建塔楼  -  宝岗', '135万', '单价34369元/平米')
('https://image1.ljcdn.com/440100-inspection/c8706372-7bd6-4008-a06e-133b6290b903.jpg.296x216.jpg', '晓港湾惠侨苑 1室1厅 135万', '晓港湾惠侨苑  | 1室1厅 | 36.8平米 | 东 | 精装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  金碧', '135万', '单价36685元/平米')
('https://image1.ljcdn.com/440100-inspection/53a5033c-427e-4278-bd50-cfbdc6fc8e8e.JPG.296x216.jpg', '金雅苑 3室1厅 400万', '金雅苑  | 3室1厅 | 99.35平米 | 南 | 精装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  滨江东', '400万', '单价40262元/平米')
('https://image1.ljcdn.com/440100-inspection/bd17ed2c-8a34-485c-8f77-cda4fbf5395c.jpg.296x216.jpg', '东晓大厦 电梯两房 可改三房 新净装修', '东晓大厦  | 2室2厅 | 102.07平米 | 东北 | 精装', '高楼层(共23层)塔楼  -  东晓路', '395万', '单价38699元/平米')
('https://image1.ljcdn.com/440100-inspection/d2589f56-df22-4ef3-a148-9e4d3e4648a2.JPG.296x216.jpg', '珠江新岸 装修保养好 一房一厅', '珠江新岸公寓  | 1室1厅 | 48平米 | 南 | 简装 | 有电梯', '高楼层(共32层)2009年建塔楼  -  滨江东', '330万', '单价68750元/平米')
('https://image1.ljcdn.com/440100-inspection/9a21ee2a-9e8e-4986-b047-099849374259.JPG.296x216.jpg', '江南苑 原装电梯 楼龄新05年的房子 精装两房', '江南苑  | 2室2厅 | 72.07平米 | 北 | 精装 | 有电梯', '中楼层(共9层)1998年建塔楼  -  工业大道北', '350万', '单价48564元/平米')
('https://image1.ljcdn.com/440100-inspection/394ff876-951b-4b0c-bb20-24ed02be60ee.jpg.296x216.jpg', '森语星园 电梯南向大2房 安静舒适 诚意出售', '森语星园  | 2室2厅 | 82.43平米 | 南 | 简装 | 有电梯', '低楼层(共29层)2004年建塔楼  -  南洲', '320万', '单价38821元/平米')
('https://image1.ljcdn.com/440100-inspection/9ec7edfe-2e0f-465e-8071-974b43c9ebac.jpg.296x216.jpg', '晓港湾漾日云天 2室2厅 285万', '晓港湾漾日云天  | 2室2厅 | 67.75平米 | 西北 | 精装 | 有电梯', '低楼层(共31层)2004年建塔楼  -  金碧', '285万', '单价42067元/平米')
('https://image1.ljcdn.com/440100-inspection/d1c0661c-ff2f-4c27-8bfd-2b2d51ca541d.jpg.296x216.jpg', '尚海轩 三房两卫 厅出阳台望花园', '嘉仕花园东区  | 3室2厅 | 109.11平米 | 西南 | 精装 | 有电梯', '中楼层(共33层)2006年建塔楼  -  滨江东', '665万', '单价60948元/平米')
('https://image1.ljcdn.com/440100-inspection/2b41d5ed-b753-4b88-9c45-9868d4629456.JPG.296x216.jpg', '宝岗路能仁新街 2室1厅 190万', '宝岗路能仁新街  | 2室1厅 | 54.12平米 | 西北 | 精装 | 无电梯', '低楼层(共9层)塔楼  -  宝岗', '190万', '单价35108元/平米')
('https://image1.ljcdn.com/440100-inspection/5b3e0eb1-997c-4b67-a02f-9a2128fbadf4.jpg.296x216.jpg', '江南花园 2室1厅 335万', '江南花园  | 2室1厅 | 58.28平米 | 北 | 其他 | 有电梯', '高楼层(共30层)2009年建塔楼  -  宝岗', '335万', '单价57482元/平米')
('https://image1.ljcdn.com/440100-inspection/290376cf-7072-46ae-89b2-522e0b3ce74b.JPG.296x216.jpg', '荔福路奋勇北街 1室1厅 150万', '荔福路奋勇北街  | 1室1厅 | 47.57平米 | 北 | 简装', '高楼层(共8层)塔楼  -  工业大道北', '150万', '单价31533元/平米')
('https://image1.ljcdn.com/440100-inspection/ef877a7b-57ed-45af-83df-03aad820cc8c.jpg.296x216.jpg', '星海明珠 格局亮正 配套成熟 诚意出售', '星海明珠  | 3室2厅 | 124平米 | 东南 | 简装 | 有电梯', '中楼层(共23层)2004年建塔楼  -  滨江东', '600万', '单价48388元/平米')
('https://image1.ljcdn.com/440100-inspection/68c85081-8ec1-4c19-b3a5-487462802852.JPG.296x216.jpg', '杏坛小区 格局方正 诚意出售 旺中带静', '杏坛小区  | 3室2厅 | 85平米 | 北 | 其他 | 无电梯', '中楼层(共9层)2000年建塔楼  -  宝岗', '398万', '单价46824元/平米')
('https://image1.ljcdn.com/440100-inspection/4e5afb83-6dc2-4b9d-8e84-3f67c5e41503.jpg.296x216.jpg', '金碧花园第二金碧 2室2厅 320万', '金碧花园第二金碧  | 2室2厅 | 72.23平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2000年建塔楼  -  金碧', '320万', '单价44303元/平米')
('https://image1.ljcdn.com/440100-inspection/76d94340-388f-49eb-a649-39a9de112b89.jpg.296x216.jpg', '侨诚花园春晓苑 2室1厅 190万', '侨诚花园春晓苑  | 2室1厅 | 54.63平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  金碧', '190万', '单价34780元/平米')
('https://image1.ljcdn.com/440100-inspection/4788d248-a021-4dc1-aff7-0e92214feb54.jpg.296x216.jpg', '江南翠菊园 使用率高 可改三房', '江南翠菊园  | 2室2厅 | 80平米 | 西北 | 简装 | 有电梯', '中楼层(共10层)2003年建塔楼  -  江南大道', '368万', '单价46000元/平米')
